symbol,fundingTime,fundingRate
LTCUSD,1756886400000,-3.200981944444e-06
LTCUSD,1756890000000,-5.23005555556e-07
LTCUSD,1756893600000,2.082390277778e-06
LTCUSD,1756897200000,6.425366666667e-06
LTCUSD,1756900800000,1.0289623611111e-05
LTCUSD,1756904400000,4.451793055556e-06
LTCUSD,1756908000000,3.074325e-06
LTCUSD,1756911600000,8.709791666667e-06
LTCUSD,1756915200000,3.755852777778e-06
LTCUSD,1756918800000,-5.96319444444e-07
LTCUSD,1756922400000,1.2510130555556e-05
LTCUSD,1756926000000,2.2499175e-05
LTCUSD,1756929600000,2.5941430555556e-05
LTCUSD,1756933200000,1.4784743055556e-05
LTCUSD,1756936800000,1.4649393055556e-05
LTCUSD,1756940400000,1.32155375e-05
LTCUSD,1756944000000,1.5964438888889e-05
LTCUSD,1756947600000,1.7599243055556e-05
LTCUSD,1756951200000,1.70175375e-05
LTCUSD,1756954800000,1.6396329166667e-05
LTCUSD,1756958400000,1.0836648611111e-05
LTCUSD,1756962000000,1.0391502777778e-05
LTCUSD,1756965600000,1.0915336111111e-05
LTCUSD,1756969200000,9.973522222222e-06
LTCUSD,1756972800000,6.896104166667e-06
LTCUSD,1756976400000,1.1350326388889e-05
LTCUSD,1756980000000,1.1679356944444e-05
LTCUSD,1756983600000,1.7711548611111e-05
LTCUSD,1756987200000,1.2615631944444e-05
LTCUSD,1756990800000,1.0876236111111e-05
LTCUSD,1756994400000,1.1890168055556e-05
LTCUSD,1756998000000,5.383730555556e-06
LTCUSD,1757001600000,3.408623611111e-06
LTCUSD,1757005200000,-3.967301388889e-06
LTCUSD,1757008800000,1.909681944444e-06
LTCUSD,1757012400000,-2.237852777778e-06
LTCUSD,1757016000000,-4.952995833333e-06
LTCUSD,1757019600000,-1.291906944444e-06
LTCUSD,1757023200000,-7.521793055556e-06
LTCUSD,1757026800000,-8.435858333333e-06
LTCUSD,1757030400000,-8.463525e-06
LTCUSD,1757034000000,-8.979641666667e-06
LTCUSD,1757037600000,-1.24080555556e-07
LTCUSD,1757041200000,1.137875e-06
LTCUSD,1757044800000,1.306722222222e-06
LTCUSD,1757048400000,3.9203875e-06
LTCUSD,1757052000000,4.362520833333e-06
LTCUSD,1757055600000,5.182708333333e-06
LTCUSD,1757059200000,2.910231944444e-06
LTCUSD,1757062800000,9.144197222222e-06
LTCUSD,1757066400000,1.868594444444e-06
LTCUSD,1757070000000,2.308459722222e-06
LTCUSD,1757073600000,-7.036036111111e-06
LTCUSD,1757077200000,-3.241570833333e-06
LTCUSD,1757080800000,1.8766776388889e-05
LTCUSD,1757084400000,1.7755847222222e-05
LTCUSD,1757088000000,2.4350915277778e-05
LTCUSD,1757091600000,2.5469697222222e-05
LTCUSD,1757095200000,1.5839194444444e-05
LTCUSD,1757098800000,1.5559743055556e-05
LTCUSD,1757102400000,1.3756831944444e-05
LTCUSD,1757106000000,1.0172351388889e-05
LTCUSD,1757109600000,-1.1554934722222e-05
LTCUSD,1757113200000,-3.0752623611111e-05
LTCUSD,1757116800000,-3.5565166666667e-05
LTCUSD,1757120400000,-2.3979030555556e-05
LTCUSD,1757124000000,-2.8217813888889e-05
LTCUSD,1757127600000,-2.6279444444444e-05
LTCUSD,1757131200000,-2.1374826388889e-05
LTCUSD,1757134800000,-2.1878615277778e-05
LTCUSD,1757138400000,-1.9634108333333e-05
LTCUSD,1757142000000,-1.4821290277778e-05
LTCUSD,1757145600000,-2.2473665277778e-05
LTCUSD,1757149200000,-2.1644227777778e-05
LTCUSD,1757152800000,-2.0713734722222e-05
LTCUSD,1757156400000,-1.5794397222222e-05
LTCUSD,1757160000000,-1.6302218055556e-05
LTCUSD,1757163600000,-1.6576520833333e-05
LTCUSD,1757167200000,-1.7374095833333e-05
LTCUSD,1757170800000,-1.5424048611111e-05
LTCUSD,1757174400000,-1.2277183333333e-05
LTCUSD,1757178000000,-8.983894444444e-06
LTCUSD,1757181600000,-1.4721561111111e-05
LTCUSD,1757185200000,-7.31155e-06
LTCUSD,1757188800000,-4.765848611111e-06
LTCUSD,1757192400000,-6.63044444444e-07
LTCUSD,1757196000000,1.070826388889e-06
LTCUSD,1757199600000,1.1816e-06
LTCUSD,1757203200000,8.0318625e-06
LTCUSD,1757206800000,9.118279166667e-06
LTCUSD,1757210400000,5.7864125e-06
LTCUSD,1757214000000,5.969226388889e-06
LTCUSD,1757217600000,8.707654166667e-06
LTCUSD,1757221200000,6.990288888889e-06
LTCUSD,1757224800000,1.0069451388889e-05
LTCUSD,1757228400000,6.8382125e-06
LTCUSD,1757232000000,7.6396e-06
LTCUSD,1757235600000,9.313163888889e-06
LTCUSD,1757239200000,7.054781944444e-06
LTCUSD,1757242800000,6.8876375e-06
LTCUSD,1757246400000,2.071941666667e-06
LTCUSD,1757250000000,2.198620833333e-06
LTCUSD,1757253600000,-9.87244444444e-07
LTCUSD,1757257200000,7.04875e-08
LTCUSD,1757260800000,-2.997304166667e-06
LTCUSD,1757264400000,-5.637323611111e-06
LTCUSD,1757268000000,-9.317527777778e-06
LTCUSD,1757271600000,-6.861983333333e-06
LTCUSD,1757275200000,-3.358270833333e-06
LTCUSD,1757278800000,-4.14745833333e-07
LTCUSD,1757282400000,-1.110690277778e-06
LTCUSD,1757286000000,1.935552777778e-06
LTCUSD,1757289600000,1.358769444444e-06
LTCUSD,1757293200000,-5.242022222222e-06
LTCUSD,1757296800000,1.579552777778e-06
LTCUSD,1757300400000,-4.42559722222e-07
LTCUSD,1757304000000,-9.982173611111e-06
LTCUSD,1757307600000,-3.486266666667e-06
LTCUSD,1757311200000,3.025877777778e-06
LTCUSD,1757314800000,5.804734722222e-06
LTCUSD,1757318400000,4.799061111111e-06
LTCUSD,1757322000000,2.839745833333e-06
LTCUSD,1757325600000,7.570556944444e-06
LTCUSD,1757329200000,1.3602708333333e-05
LTCUSD,1757332800000,1.0667783333333e-05
LTCUSD,1757336400000,9.535669444444e-06
LTCUSD,1757340000000,7.264745833333e-06
LTCUSD,1757343600000,1.0768226388889e-05
LTCUSD,1757347200000,1.715870833333e-06
LTCUSD,1757350800000,3.166372222222e-06
LTCUSD,1757354400000,7.517077777778e-06
LTCUSD,1757358000000,1.2337084722222e-05
LTCUSD,1757361600000,9.776708333333e-06
LTCUSD,1757365200000,7.062256944444e-06
LTCUSD,1757368800000,1.1138001388889e-05
LTCUSD,1757372400000,9.18855e-06
LTCUSD,1757376000000,1.0207943055556e-05
LTCUSD,1757379600000,5.421461111111e-06
LTCUSD,1757383200000,1.0034388888889e-05
LTCUSD,1757386800000,4.395061111111e-06
LTCUSD,1757390400000,3.429830555556e-06
LTCUSD,1757394000000,3.684348611111e-06
LTCUSD,1757397600000,3.371802777778e-06
LTCUSD,1757401200000,5.224386111111e-06
LTCUSD,1757404800000,2.5040719444444e-05
LTCUSD,1757408400000,2.4057870833333e-05
LTCUSD,1757412000000,2.23963625e-05
LTCUSD,1757415600000,1.8994295833333e-05
LTCUSD,1757419200000,1.6959013888889e-05
LTCUSD,1757422800000,1.3081677777778e-05
LTCUSD,1757426400000,3.502915277778e-06
LTCUSD,1757430000000,1.896319444444e-06
LTCUSD,1757433600000,-7.44509722222e-07
LTCUSD,1757437200000,7.071783333333e-06
LTCUSD,1757440800000,6.078305555556e-06
LTCUSD,1757444400000,2.022425e-06
