symbol,fundingTime,fundingRate
NEARUSD,1756886400000,1.4611493055556e-05
NEARUSD,1756890000000,6.900708333333e-06
NEARUSD,1756893600000,9.738166666667e-06
NEARUSD,1756897200000,2.4263041666667e-05
NEARUSD,1756900800000,1.4218079166667e-05
NEARUSD,1756904400000,1.6333381944444e-05
NEARUSD,1756908000000,1.679815e-05
NEARUSD,1756911600000,6.553026388889e-06
NEARUSD,1756915200000,6.7179375e-06
NEARUSD,1756918800000,-7.609801388889e-06
NEARUSD,1756922400000,6.216394444444e-06
NEARUSD,1756926000000,-2.9718404166667e-05
NEARUSD,1756929600000,1.14056375e-05
NEARUSD,1756933200000,3.458276388889e-06
NEARUSD,1756936800000,-1.2801995833333e-05
NEARUSD,1756940400000,-3.2694170833333e-05
NEARUSD,1756944000000,9.843025e-06
NEARUSD,1756947600000,2.6765630555556e-05
NEARUSD,1756951200000,-3.4694104166667e-05
NEARUSD,1756954800000,-4.6221322222222e-05
NEARUSD,1756958400000,-7.15298611111e-07
NEARUSD,1756962000000,-1.2213994444444e-05
NEARUSD,1756965600000,1.0771919444444e-05
NEARUSD,1756969200000,6.291580555556e-06
NEARUSD,1756972800000,-1.0805672222222e-05
NEARUSD,1756976400000,-2.1875083333333e-05
NEARUSD,1756980000000,-4.74608333333e-07
NEARUSD,1756983600000,-7.1185259722222e-05
NEARUSD,1756987200000,-5.1898061111111e-05
NEARUSD,1756990800000,-2.4380448611111e-05
NEARUSD,1756994400000,5.683486111111e-06
NEARUSD,1756998000000,-4.7286938888889e-05
NEARUSD,1757001600000,-2.8736477777778e-05
NEARUSD,1757005200000,-1.1642159722222e-05
NEARUSD,1757008800000,-4.6134620833333e-05
NEARUSD,1757012400000,-6.915998611111e-06
NEARUSD,1757016000000,-2.7138563888889e-05
NEARUSD,1757019600000,-1.37109875e-05
NEARUSD,1757023200000,-2.1241826388889e-05
NEARUSD,1757026800000,1.19624625e-05
NEARUSD,1757030400000,2.6987248611111e-05
NEARUSD,1757034000000,1.5302130555556e-05
NEARUSD,1757037600000,6.889825e-06
NEARUSD,1757041200000,1.2293118055556e-05
NEARUSD,1757044800000,3.6825630555556e-05
NEARUSD,1757048400000,7.4732686111111e-05
NEARUSD,1757052000000,7.8335661111111e-05
NEARUSD,1757055600000,3.5387711111111e-05
NEARUSD,1757059200000,-6.43738888889e-07
NEARUSD,1757062800000,8.94279166667e-07
NEARUSD,1757066400000,4.8958573611111e-05
NEARUSD,1757070000000,6.5340911111111e-05
NEARUSD,1757073600000,4.8693894444444e-05
NEARUSD,1757077200000,2.5959969444444e-05
NEARUSD,1757080800000,1.1785580555556e-05
NEARUSD,1757084400000,3.725469444444e-06
NEARUSD,1757088000000,3.4212123611111e-05
NEARUSD,1757091600000,-8.044584722222e-06
NEARUSD,1757095200000,3.4198355555556e-05
NEARUSD,1757098800000,1.5823056944444e-05
NEARUSD,1757102400000,1.8040066666667e-05
NEARUSD,1757106000000,2.1123515277778e-05
NEARUSD,1757109600000,3.4354891666667e-05
NEARUSD,1757113200000,4.49585e-06
NEARUSD,1757116800000,7.3206e-06
NEARUSD,1757120400000,1.0092736111111e-05
NEARUSD,1757124000000,-8.680555555556e-06
NEARUSD,1757127600000,2.18932875e-05
NEARUSD,1757131200000,1.9090015277778e-05
NEARUSD,1757134800000,1.6714006944444e-05
NEARUSD,1757138400000,-1.7026965277778e-05
NEARUSD,1757142000000,9.879129166667e-06
NEARUSD,1757145600000,-1.8043943055556e-05
NEARUSD,1757149200000,3.806372222222e-06
NEARUSD,1757152800000,2.0191408333333e-05
NEARUSD,1757156400000,-3.0328019444444e-05
NEARUSD,1757160000000,-1.0576481944444e-05
NEARUSD,1757163600000,-8.7696625e-06
NEARUSD,1757167200000,5.7822e-06
NEARUSD,1757170800000,-3.0304022222222e-05
NEARUSD,1757174400000,-7.827752777778e-06
NEARUSD,1757178000000,-1.6287011111111e-05
NEARUSD,1757181600000,-8.03525e-07
NEARUSD,1757185200000,-2.3416556944444e-05
NEARUSD,1757188800000,-1.60982625e-05
NEARUSD,1757192400000,-2.1586151388889e-05
NEARUSD,1757196000000,-6.2413194444444e-05
NEARUSD,1757199600000,5.760865277778e-06
NEARUSD,1757203200000,-6.891854166667e-06
NEARUSD,1757206800000,-1.9606411111111e-05
NEARUSD,1757210400000,1.3124347222222e-05
NEARUSD,1757214000000,2.0833331944444e-05
NEARUSD,1757217600000,-5.0283125e-06
NEARUSD,1757221200000,1.053051388889e-06
NEARUSD,1757224800000,4.512204166667e-06
NEARUSD,1757228400000,1.4601941666667e-05
NEARUSD,1757232000000,-1.8528005555556e-05
NEARUSD,1757235600000,2.4379323611111e-05
NEARUSD,1757239200000,3.4899191666667e-05
NEARUSD,1757242800000,1.34223875e-05
NEARUSD,1757246400000,2.2171226388889e-05
NEARUSD,1757250000000,3.5262980555556e-05
NEARUSD,1757253600000,1.3749123611111e-05
NEARUSD,1757257200000,1.5693404166667e-05
NEARUSD,1757260800000,2.1943926388889e-05
NEARUSD,1757264400000,-2.8208802777778e-05
NEARUSD,1757268000000,2.028633333333e-06
NEARUSD,1757271600000,-1.5057359722222e-05
NEARUSD,1757275200000,1.8570484722222e-05
NEARUSD,1757278800000,-4.0706869444444e-05
NEARUSD,1757282400000,7.1956861111111e-05
NEARUSD,1757286000000,1.6571608333333e-05
NEARUSD,1757289600000,1.2331283333333e-05
NEARUSD,1757293200000,2.4286815277778e-05
NEARUSD,1757296800000,-1.8574979166667e-05
NEARUSD,1757300400000,-3.7933e-06
NEARUSD,1757304000000,2.2910251388889e-05
NEARUSD,1757307600000,3.633423611111e-06
NEARUSD,1757311200000,2.688726388889e-06
NEARUSD,1757314800000,1.9096661111111e-05
NEARUSD,1757318400000,-1.8793729166667e-05
NEARUSD,1757322000000,-1.5761458333333e-05
NEARUSD,1757325600000,-1.2794518055556e-05
NEARUSD,1757329200000,-7.16927777778e-07
NEARUSD,1757332800000,-2.8383384722222e-05
NEARUSD,1757336400000,-3.4240683333333e-05
NEARUSD,1757340000000,-3.7178636111111e-05
NEARUSD,1757343600000,1.709577777778e-06
NEARUSD,1757347200000,-3.889873611111e-06
NEARUSD,1757350800000,-2.6715719444444e-05
NEARUSD,1757354400000,-2.423125e-06
NEARUSD,1757358000000,-1.4894683333333e-05
NEARUSD,1757361600000,6.59525e-07
NEARUSD,1757365200000,-6.67618055556e-07
NEARUSD,1757368800000,-1.3025831944444e-05
NEARUSD,1757372400000,1.8593551388889e-05
NEARUSD,1757376000000,3.5345373611111e-05
NEARUSD,1757379600000,9.91545e-06
NEARUSD,1757383200000,1.6280901388889e-05
NEARUSD,1757386800000,2.441451388889e-06
NEARUSD,1757390400000,1.0424159722222e-05
NEARUSD,1757394000000,1.0304483333333e-05
NEARUSD,1757397600000,-6.722290277778e-06
NEARUSD,1757401200000,-2.983044444444e-06
NEARUSD,1757404800000,1.4786147222222e-05
NEARUSD,1757408400000,1.6145158333333e-05
NEARUSD,1757412000000,3.6115169444444e-05
NEARUSD,1757415600000,7.324106944444e-06
NEARUSD,1757419200000,-8.0013e-06
NEARUSD,1757422800000,-1.9206155555556e-05
NEARUSD,1757426400000,-2.0469376388889e-05
NEARUSD,1757430000000,7.803694444444e-06
NEARUSD,1757433600000,-2.1485584722222e-05
NEARUSD,1757437200000,-4.825726388889e-06
NEARUSD,1757440800000,3.3954381944444e-05
NEARUSD,1757444400000,6.569355555556e-06
NEARUSD,1757448000000,3.2838384722222e-05
NEARUSD,1757451600000,2.5819216666667e-05
NEARUSD,1757455200000,-1.3982429166667e-05
NEARUSD,1757458800000,1.8177980555556e-05
NEARUSD,1757462400000,1.1934727777778e-05
NEARUSD,1757466000000,3.1513125e-05
NEARUSD,1757469600000,6.462456944444e-06
NEARUSD,1757473200000,8.770170833333e-06
NEARUSD,1757476800000,-2.8002318055556e-05
NEARUSD,1757480400000,4.512102777778e-06
NEARUSD,1757484000000,-2.480275e-06
NEARUSD,1757487600000,-6.327779166667e-06
NEARUSD,1757491200000,1.1813731944444e-05
NEARUSD,1757494800000,5.855948611111e-06
NEARUSD,1757498400000,-6.718486111111e-06
NEARUSD,1757502000000,1.577644444444e-06
NEARUSD,1757505600000,-8.248215277778e-06
NEARUSD,1757509200000,-2.66483e-05
NEARUSD,1757512800000,-2.1694909722222e-05
NEARUSD,1757516400000,-2.32182875e-05
NEARUSD,1757520000000,-3.8578444444444e-05
NEARUSD,1757523600000,-2.2224420833333e-05
NEARUSD,1757527200000,1.745176388889e-06
NEARUSD,1757530800000,-4.187222222222e-06
NEARUSD,1757534400000,-3.04773611111e-07
NEARUSD,1757538000000,4.432055555556e-06
NEARUSD,1757541600000,-2.5595197222222e-05
NEARUSD,1757545200000,-8.688280555556e-06
NEARUSD,1757548800000,1.049020833333e-06
NEARUSD,1757552400000,-1.8865948611111e-05
NEARUSD,1757556000000,-1.9368869444444e-05
NEARUSD,1757559600000,-4.0129855555556e-05
NEARUSD,1757563200000,9.545970833333e-06
NEARUSD,1757566800000,3.759273611111e-06
NEARUSD,1757570400000,-2.1137276388889e-05
NEARUSD,1757574000000,-9.265365277778e-06
NEARUSD,1757577600000,-1.6020775297619e-05
