symbol,fundingTime,fundingRate
POLUSD,1756886400000,4.765520833333e-06
POLUSD,1756890000000,1.5193941666667e-05
POLUSD,1756893600000,2.2009765277778e-05
POLUSD,1756897200000,2.3300770833333e-05
POLUSD,1756900800000,1.8356794444444e-05
POLUSD,1756904400000,7.541952777778e-06
POLUSD,1756908000000,-5.552981944444e-06
POLUSD,1756911600000,3.938698611111e-06
POLUSD,1756915200000,1.3248313888889e-05
POLUSD,1756918800000,-5.0176388889e-08
POLUSD,1756922400000,-8.837568055556e-06
POLUSD,1756926000000,-3.445247222222e-06
POLUSD,1756929600000,5.20572222222e-07
POLUSD,1756933200000,-4.941356944444e-06
POLUSD,1756936800000,-1.7966788888889e-05
POLUSD,1756940400000,-2.1658863888889e-05
POLUSD,1756944000000,-8.296129166667e-06
POLUSD,1756947600000,-2.3177375e-06
POLUSD,1756951200000,6.481273611111e-06
POLUSD,1756954800000,3.867523611111e-06
POLUSD,1756958400000,-4.615779166667e-06
POLUSD,1756962000000,-4.0031125e-06
POLUSD,1756965600000,-3.309063888889e-06
POLUSD,1756969200000,-4.897013888889e-06
POLUSD,1756972800000,5.180463888889e-06
POLUSD,1756976400000,1.2448886111111e-05
POLUSD,1756980000000,6.44045e-06
POLUSD,1756983600000,1.2445230555556e-05
POLUSD,1756987200000,1.3284745833333e-05
POLUSD,1756990800000,1.7895905555556e-05
POLUSD,1756994400000,2.3630218055556e-05
POLUSD,1756998000000,7.713988888889e-06
POLUSD,1757001600000,1.887455555556e-06
POLUSD,1757005200000,7.097920833333e-06
POLUSD,1757008800000,-4.347522222222e-06
POLUSD,1757012400000,-9.087016666667e-06
POLUSD,1757016000000,-4.490213888889e-06
POLUSD,1757019600000,-6.241226388889e-06
POLUSD,1757023200000,-7.031927777778e-06
POLUSD,1757026800000,-1.1000402777778e-05
POLUSD,1757030400000,-1.7842918055556e-05
POLUSD,1757034000000,-2.5706754166667e-05
POLUSD,1757037600000,-1.2369543055556e-05
POLUSD,1757041200000,-1.6532472222222e-05
POLUSD,1757044800000,-1.8743523611111e-05
POLUSD,1757048400000,-1.1612123611111e-05
POLUSD,1757052000000,-8.33673655914e-06
POLUSD,1757055600000,-1.6159193548387e-05
POLUSD,1757059200000,-2.16870625e-05
POLUSD,1757062800000,-1.3999616666667e-05
POLUSD,1757066400000,-1.7514677777778e-05
POLUSD,1757070000000,-2.1605336111111e-05
POLUSD,1757073600000,-2.4309425e-05
POLUSD,1757077200000,-2.3143925e-05
POLUSD,1757080800000,-1.1873034722222e-05
POLUSD,1757084400000,-2.4970581944444e-05
POLUSD,1757088000000,-1.58297125e-05
POLUSD,1757091600000,-2.75750625e-05
POLUSD,1757095200000,-2.3986879166667e-05
POLUSD,1757098800000,-1.4989027777778e-05
POLUSD,1757102400000,-2.0406159722222e-05
POLUSD,1757106000000,-1.5113934722222e-05
POLUSD,1757109600000,-7.761998611111e-06
POLUSD,1757113200000,-7.6365625e-06
POLUSD,1757116800000,-2.310395833333e-06
POLUSD,1757120400000,2.085108333333e-06
POLUSD,1757124000000,-6.706031944444e-06
POLUSD,1757127600000,-7.305480555556e-06
POLUSD,1757131200000,-2.669775e-06
POLUSD,1757134800000,-8.631409722222e-06
POLUSD,1757138400000,-8.571152777778e-06
POLUSD,1757142000000,-7.4979166667e-08
POLUSD,1757145600000,-8.0153125e-06
POLUSD,1757149200000,-8.708827777778e-06
POLUSD,1757152800000,-1.2962955555556e-05
POLUSD,1757156400000,-1.5460459722222e-05
POLUSD,1757160000000,-5.605354166667e-06
POLUSD,1757163600000,-1.0366865277778e-05
POLUSD,1757167200000,-1.5776098611111e-05
POLUSD,1757170800000,-1.0028955555556e-05
POLUSD,1757174400000,-6.027833333333e-06
POLUSD,1757178000000,-8.347356944444e-06
POLUSD,1757181600000,1.082504166667e-06
POLUSD,1757185200000,-1.899443055556e-06
POLUSD,1757188800000,-4.237576388889e-06
POLUSD,1757192400000,-1.5892027777778e-05
POLUSD,1757196000000,-7.9599875e-06
POLUSD,1757199600000,-5.881566666667e-06
POLUSD,1757203200000,-2.579477777778e-06
POLUSD,1757206800000,1.0124711111111e-05
POLUSD,1757210400000,1.3394588888889e-05
POLUSD,1757214000000,6.005230555556e-06
POLUSD,1757217600000,1.2199575e-05
POLUSD,1757221200000,1.6751944444444e-05
POLUSD,1757224800000,5.638541666667e-06
POLUSD,1757228400000,7.289748611111e-06
POLUSD,1757232000000,7.606570833333e-06
POLUSD,1757235600000,1.608598611111e-06
POLUSD,1757239200000,-4.394352777778e-06
POLUSD,1757242800000,6.777122222222e-06
POLUSD,1757246400000,1.6950477777778e-05
POLUSD,1757250000000,5.1239125e-06
POLUSD,1757253600000,1.8930483333333e-05
POLUSD,1757257200000,1.5047443055556e-05
POLUSD,1757260800000,1.8804806944444e-05
POLUSD,1757264400000,2.4978511111111e-05
POLUSD,1757268000000,2.7285188888889e-05
POLUSD,1757271600000,1.8957080555556e-05
POLUSD,1757275200000,2.584455e-05
POLUSD,1757278800000,2.3246597222222e-05
POLUSD,1757282400000,2.7941318055556e-05
POLUSD,1757286000000,2.2649013888889e-05
POLUSD,1757289600000,1.5222209677419e-05
POLUSD,1757293200000,1.1160563172043e-05
POLUSD,1757296800000,1.4935801388889e-05
POLUSD,1757300400000,1.8160398611111e-05
POLUSD,1757304000000,2.2007461111111e-05
POLUSD,1757307600000,2.4872623611111e-05
POLUSD,1757311200000,2.0066554166667e-05
POLUSD,1757314800000,2.177455e-05
POLUSD,1757318400000,2.2442548611111e-05
POLUSD,1757322000000,1.9341301388889e-05
POLUSD,1757325600000,2.9950893055556e-05
POLUSD,1757329200000,2.7348640277778e-05
POLUSD,1757332800000,1.1832556944444e-05
POLUSD,1757336400000,2.4443473611111e-05
POLUSD,1757340000000,2.7416970833333e-05
POLUSD,1757343600000,1.4104438888889e-05
POLUSD,1757347200000,1.8424380555556e-05
POLUSD,1757350800000,1.1717634722222e-05
POLUSD,1757354400000,6.563104166667e-06
POLUSD,1757358000000,5.019588888889e-06
POLUSD,1757361600000,-2.718926388889e-06
POLUSD,1757365200000,3.8762875e-06
POLUSD,1757368800000,1.0630494444444e-05
POLUSD,1757372400000,1.5676013888889e-05
POLUSD,1757376000000,2.0801880555556e-05
POLUSD,1757379600000,2.2427625e-05
POLUSD,1757383200000,1.5799551388889e-05
POLUSD,1757386800000,2.1002254166667e-05
POLUSD,1757390400000,1.7580597222222e-05
POLUSD,1757394000000,1.9980865277778e-05
POLUSD,1757397600000,2.9102868055556e-05
POLUSD,1757401200000,2.4342691666667e-05
POLUSD,1757404800000,1.7224105555556e-05
POLUSD,1757408400000,1.7153604166667e-05
POLUSD,1757412000000,2.1150531944444e-05
POLUSD,1757415600000,2.8589297043011e-05
POLUSD,1757419200000,2.0781690860215e-05
POLUSD,1757422800000,2.8388869444444e-05
POLUSD,1757426400000,-1.1303451388889e-05
POLUSD,1757430000000,-2.76077e-05
POLUSD,1757433600000,-2.1893377777778e-05
POLUSD,1757437200000,-2.7249845833333e-05
POLUSD,1757440800000,-3.7426997222222e-05
POLUSD,1757444400000,-2.6136079166667e-05
POLUSD,1757448000000,-2.5763355555556e-05
POLUSD,1757451600000,-1.9622408333333e-05
POLUSD,1757455200000,-1.2993958333333e-05
POLUSD,1757458800000,-1.61016375e-05
POLUSD,1757462400000,-8.51585e-06
POLUSD,1757466000000,-1.7482518055556e-05
POLUSD,1757469600000,-2.7078945833333e-05
POLUSD,1757473200000,-2.0837623611111e-05
POLUSD,1757476800000,-2.6322769444444e-05
POLUSD,1757480400000,-2.7462077777778e-05
POLUSD,1757484000000,-2.1137066666667e-05
POLUSD,1757487600000,-1.7896608333333e-05
POLUSD,1757491200000,-2.0638064516129e-05
POLUSD,1757494800000,-3.2716932795699e-05
POLUSD,1757498400000,-2.7854367283951e-05
POLUSD,1757502000000,-3.5853311111111e-05
POLUSD,1757505600000,-4.4847079166667e-05
POLUSD,1757509200000,-4.0463443055556e-05
POLUSD,1757512800000,-3.6076398611111e-05
POLUSD,1757516400000,-3.1054954166667e-05
POLUSD,1757520000000,-2.0803781944444e-05
POLUSD,1757523600000,-1.8502056944444e-05
POLUSD,1757527200000,-1.8123333333333e-05
POLUSD,1757530800000,-1.5875775e-05
POLUSD,1757534400000,-2.4683336111111e-05
POLUSD,1757538000000,-3.2022956944444e-05
POLUSD,1757541600000,-2.9386401388889e-05
POLUSD,1757545200000,-2.4896452777778e-05
POLUSD,1757548800000,-1.8041041666667e-05
POLUSD,1757552400000,-1.7319248611111e-05
POLUSD,1757556000000,-7.719313888889e-06
POLUSD,1757559600000,6.571293055556e-06
POLUSD,1757563200000,1.4032909722222e-05
POLUSD,1757566800000,5.613102777778e-06
POLUSD,1757570400000,-7.644756944444e-06
POLUSD,1757574000000,3.632940277778e-06
POLUSD,1757577600000,1.1301227678571e-05
POLUSD,1757581200000,8.705027777778e-06
POLUSD,1757584800000,9.965177777778e-06
POLUSD,1757588400000,1.3736002777778e-05
POLUSD,1757592000000,-4.298134722222e-06
POLUSD,1757595600000,-9.69880555556e-07
POLUSD,1757599200000,1.1431911111111e-05
POLUSD,1757602800000,3.703045833333e-06
POLUSD,1757606400000,5.441140277778e-06
POLUSD,1757610000000,1.5306261111111e-05
POLUSD,1757613600000,1.2087334722222e-05
POLUSD,1757617200000,6.348294444444e-06
POLUSD,1757620800000,1.27570833333e-07
POLUSD,1757624400000,4.747645833333e-06
POLUSD,1757628000000,1.0316230555556e-05
POLUSD,1757631600000,-1.274634722222e-06
POLUSD,1757635200000,1.8192015277778e-05
POLUSD,1757638800000,1.0258351388889e-05
POLUSD,1757642400000,6.275472222222e-06
POLUSD,1757646000000,1.2428001388889e-05
POLUSD,1757649600000,7.126365277778e-06
POLUSD,1757653200000,1.5415651388889e-05
POLUSD,1757656800000,2.9736140277778e-05
POLUSD,1757660400000,2.9438043055556e-05
POLUSD,1757664000000,9.851027777778e-06
POLUSD,1757667600000,9.796452777778e-06
POLUSD,1757671200000,1.0518652777778e-05
POLUSD,1757674800000,-4.087543055556e-06
POLUSD,1757678400000,5.580472222222e-06
POLUSD,1757682000000,2.465227777778e-06
POLUSD,1757685600000,9.0729625e-06
POLUSD,1757689200000,9.093170833333e-06
POLUSD,1757692800000,-1.394705555556e-06
POLUSD,1757696400000,2.838813888889e-06
POLUSD,1757700000000,2.5551418055556e-05
POLUSD,1757703600000,2.9554163888889e-05
POLUSD,1757707200000,1.0539e-05
POLUSD,1757710800000,1.4941923611111e-05
POLUSD,1757714400000,2.2062236111111e-05
POLUSD,1757718000000,2.0641304166667e-05
POLUSD,1757721600000,1.436505e-05
POLUSD,1757725200000,1.4564286111111e-05
POLUSD,1757728800000,1.8755218055556e-05
POLUSD,1757732400000,1.4253755555556e-05
POLUSD,1757736000000,2.0049688888889e-05
POLUSD,1757739600000,1.1389613888889e-05
POLUSD,1757743200000,1.1089577777778e-05
POLUSD,1757746800000,1.6685826388889e-05
POLUSD,1757750400000,3.7955045833333e-05
POLUSD,1757754000000,4.7982511111111e-05
POLUSD,1757757600000,4.6778222222222e-05
POLUSD,1757761200000,2.395535483871e-05
POLUSD,1757764800000,3.2888668010753e-05
POLUSD,1757768400000,4.4012395833333e-05
POLUSD,1757772000000,4.8205195833333e-05
POLUSD,1757775600000,3.4697868055556e-05
POLUSD,1757779200000,3.9670981944444e-05
POLUSD,1757782800000,3.1062204166667e-05
POLUSD,1757786400000,2.1428819444444e-05
POLUSD,1757790000000,2.9659773611111e-05
POLUSD,1757793600000,3.2569801388889e-05
POLUSD,1757797200000,2.8667744444444e-05
POLUSD,1757800800000,3.1110031944444e-05
POLUSD,1757804400000,2.7660688888889e-05
POLUSD,1757808000000,3.0048444892473e-05
POLUSD,1757811600000,3.1858842741935e-05
POLUSD,1757815200000,2.1353408333333e-05
POLUSD,1757818800000,2.2650527777778e-05
POLUSD,1757822400000,2.3956813888889e-05
POLUSD,1757826000000,2.7619134722222e-05
POLUSD,1757829600000,2.8980129166667e-05
POLUSD,1757833200000,2.3841422222222e-05
POLUSD,1757836800000,2.3660498611111e-05
POLUSD,1757840400000,2.9153761111111e-05
POLUSD,1757844000000,2.4893402777778e-05
POLUSD,1757847600000,2.1226940277778e-05
POLUSD,1757851200000,2.11327e-05
POLUSD,1757854800000,1.8451077777778e-05
POLUSD,1757858400000,1.9627177777778e-05
POLUSD,1757862000000,5.177340277778e-06
POLUSD,1757865600000,1.742019444444e-06
POLUSD,1757869200000,5.557738888889e-06
POLUSD,1757872800000,7.271731944444e-06
POLUSD,1757876400000,3.319875e-07
POLUSD,1757880000000,1.803622222222e-06
POLUSD,1757883600000,4.547591397849e-06
POLUSD,1757887200000,1.400982526882e-06
POLUSD,1757890800000,-2.077411111111e-06
POLUSD,1757894400000,1.214731944444e-06
POLUSD,1757898000000,-3.216175e-06
POLUSD,1757901600000,1.631333333333e-06
POLUSD,1757905200000,2.083888888889e-06
POLUSD,1757908800000,6.005956944444e-06
POLUSD,1757912400000,1.0017033333333e-05
POLUSD,1757916000000,3.860147222222e-06
POLUSD,1757919600000,8.663519444444e-06
POLUSD,1757923200000,3.53965e-06
POLUSD,1757926800000,-1.244108333333e-06
POLUSD,1757930400000,-5.55633333333e-07
POLUSD,1757934000000,-1.0021040277778e-05
POLUSD,1757937600000,-7.411523611111e-06
POLUSD,1757941200000,-2.395745833333e-06
POLUSD,1757944800000,-8.625541666667e-06
POLUSD,1757948400000,8.108734722222e-06
POLUSD,1757952000000,1.4943330555556e-05
POLUSD,1757955600000,1.9322676388889e-05
POLUSD,1757959200000,1.4428430555556e-05
POLUSD,1757962800000,1.6815176388889e-05
POLUSD,1757966400000,-3.719269444444e-06
POLUSD,1757970000000,8.232725e-06
POLUSD,1757973600000,-6.374602777778e-06
POLUSD,1757977200000,-3.9446186111111e-05
POLUSD,1757980800000,-1.831325e-05
POLUSD,1757984400000,-2.4011563888889e-05
POLUSD,1757988000000,-1.8406504166667e-05
POLUSD,1757991600000,-1.1661025e-05
POLUSD,1757995200000,-2.4190401388889e-05
POLUSD,1757998800000,-2.6411911111111e-05
POLUSD,1758002400000,-2.7489209722222e-05
POLUSD,1758006000000,-3.4895822222222e-05
POLUSD,1758009600000,-2.5495813888889e-05
POLUSD,1758013200000,-2.2719564236111e-05
POLUSD,1758016800000,-2.8973423611111e-05
POLUSD,1758020400000,-2.6213419444444e-05
POLUSD,1758024000000,-2.7903390277778e-05
POLUSD,1758027600000,-2.3680690277778e-05
POLUSD,1758031200000,-5.674475e-06
POLUSD,1758034800000,-1.4989898611111e-05
POLUSD,1758038400000,-2.3587066666667e-05
POLUSD,1758042000000,-3.3293991666667e-05
POLUSD,1758045600000,-3.19514125e-05
POLUSD,1758049200000,-4.3024106944444e-05
POLUSD,1758052800000,-4.2121894444444e-05
POLUSD,1758056400000,-4.2029081944444e-05
POLUSD,1758060000000,-3.3013429166667e-05
POLUSD,1758063600000,-3.7917852777778e-05
POLUSD,1758067200000,-4.1245916666667e-05
POLUSD,1758070800000,-2.6727511111111e-05
POLUSD,1758074400000,-2.0959890277778e-05
POLUSD,1758078000000,-1.5566126388889e-05
POLUSD,1758081600000,-2.6641384722222e-05
POLUSD,1758085200000,-2.1949720833333e-05
POLUSD,1758088800000,-1.8773240277778e-05
POLUSD,1758092400000,-1.50937e-05
POLUSD,1758096000000,-7.407163888889e-06
POLUSD,1758099600000,-1.5991558333333e-05
POLUSD,1758103200000,-5.2405375e-06
POLUSD,1758106800000,-1.839825e-05
POLUSD,1758110400000,-2.4113952777778e-05
POLUSD,1758114000000,-2.7480131944444e-05
POLUSD,1758117600000,-1.92139e-05
POLUSD,1758121200000,-2.1950145833333e-05
POLUSD,1758124800000,-1.5020126388889e-05
POLUSD,1758128400000,-1.4496136111111e-05
POLUSD,1758132000000,-1.8595386111111e-05
POLUSD,1758135600000,-2.286134408602e-06
POLUSD,1758139200000,-3.102002688172e-06
POLUSD,1758142800000,-6.881501388889e-06
POLUSD,1758146400000,-4.549145833333e-06
POLUSD,1758150000000,7.880601388889e-06
POLUSD,1758153600000,8.138693055556e-06
POLUSD,1758157200000,7.684026388889e-06
POLUSD,1758160800000,1.7609018055556e-05
POLUSD,1758164400000,9.656754166667e-06
POLUSD,1758168000000,2.4418891666667e-05
POLUSD,1758171600000,2.3608815277778e-05
POLUSD,1758175200000,1.4723690277778e-05
POLUSD,1758178800000,7.463365277778e-06
POLUSD,1758182400000,9.107840277778e-06
POLUSD,1758186000000,1.0651861111111e-05
POLUSD,1758189600000,8.089576388889e-06
POLUSD,1758193200000,4.635825e-06
POLUSD,1758196800000,2.4522722222222e-05
POLUSD,1758200400000,2.2072109722222e-05
POLUSD,1758204000000,7.622795833333e-06
POLUSD,1758207600000,1.5656359722222e-05
POLUSD,1758211200000,2.3873565277778e-05
POLUSD,1758214800000,1.4884794444444e-05
POLUSD,1758218400000,1.1745051388889e-05
POLUSD,1758222000000,1.9471665277778e-05
POLUSD,1758225600000,2.69903125e-05
POLUSD,1758229200000,3.6243683333333e-05
POLUSD,1758232800000,3.6291547222222e-05
POLUSD,1758236400000,3.2961013888889e-05
POLUSD,1758240000000,2.3753297222222e-05
POLUSD,1758243600000,2.4937806944444e-05
POLUSD,1758247200000,2.6517404166667e-05
POLUSD,1758250800000,2.0715743055556e-05
POLUSD,1758254400000,2.5093969444444e-05
POLUSD,1758258000000,1.9562958333333e-05
POLUSD,1758261600000,1.9828802777778e-05
POLUSD,1758265200000,2.3035644444444e-05
POLUSD,1758268800000,1.9484963888889e-05
POLUSD,1758272400000,1.0750376388889e-05
POLUSD,1758276000000,1.5150227777778e-05
POLUSD,1758279600000,5.907794444444e-06
POLUSD,1758283200000,4.959669444444e-06
POLUSD,1758286800000,1.3091976388889e-05
POLUSD,1758290400000,1.8619247222222e-05
POLUSD,1758294000000,-1.504402777778e-06
POLUSD,1758297600000,-4.1763305555556e-05
POLUSD,1758301200000,-4.9827129166667e-05
POLUSD,1758304800000,-4.0127638888889e-05
POLUSD,1758308400000,-5.1198519444444e-05
POLUSD,1758312000000,-2.7976556944444e-05
POLUSD,1758315600000,-2.4519086111111e-05
POLUSD,1758319200000,-4.3891370833333e-05
POLUSD,1758322800000,-5.40766375e-05
POLUSD,1758326400000,-5.1069323611111e-05
POLUSD,1758330000000,-4.1416568055556e-05
POLUSD,1758333600000,-4.5186602777778e-05
POLUSD,1758337200000,-4.47661e-05
POLUSD,1758340800000,-3.8097990277778e-05
POLUSD,1758344400000,-4.4533886111111e-05
POLUSD,1758348000000,-4.4729863888889e-05
POLUSD,1758351600000,-5.6093191666667e-05
POLUSD,1758355200000,-4.4118097222222e-05
POLUSD,1758358800000,-5.5720484722222e-05
POLUSD,1758362400000,-4.8016154166667e-05
POLUSD,1758366000000,-4.9494104166667e-05
POLUSD,1758369600000,-4.9492098611111e-05
POLUSD,1758373200000,-5.7277168055556e-05
POLUSD,1758376800000,-5.7559845833333e-05
POLUSD,1758380400000,-4.80004875e-05
POLUSD,1758384000000,-4.0958840277778e-05
POLUSD,1758387600000,-4.8371083333333e-05
POLUSD,1758391200000,-4.8603959722222e-05
POLUSD,1758394800000,-4.7680493055556e-05
POLUSD,1758398400000,-4.5480384722222e-05
POLUSD,1758402000000,-3.1248605555556e-05
POLUSD,1758405600000,-3.10069625e-05
POLUSD,1758409200000,-3.7528227777778e-05
