symbol,fundingTime,fundingRate
SOLUSD,1756886400000,-2.781568055556e-06
SOLUSD,1756890000000,-5.27873611111e-07
SOLUSD,1756893600000,-2.791533333333e-06
SOLUSD,1756897200000,4.509183333333e-06
SOLUSD,1756900800000,1.652695833333e-06
SOLUSD,1756904400000,-8.585165277778e-06
SOLUSD,1756908000000,-7.451730555556e-06
SOLUSD,1756911600000,-2.160470833333e-06
SOLUSD,1756915200000,9.63388888889e-07
SOLUSD,1756918800000,-3.183193055556e-06
SOLUSD,1756922400000,5.3600875e-06
SOLUSD,1756926000000,1.163577777778e-06
SOLUSD,1756929600000,3.552994444444e-06
SOLUSD,1756933200000,-4.054709722222e-06
SOLUSD,1756936800000,-6.976695833333e-06
SOLUSD,1756940400000,-1.728929166667e-06
SOLUSD,1756944000000,-6.80113888889e-07
SOLUSD,1756947600000,4.058873611111e-06
SOLUSD,1756951200000,-4.277009722222e-06
SOLUSD,1756954800000,-2.398434722222e-06
SOLUSD,1756958400000,-4.07177777778e-07
SOLUSD,1756962000000,1.146738888889e-06
SOLUSD,1756965600000,4.998513888889e-06
SOLUSD,1756969200000,3.481727777778e-06
SOLUSD,1756972800000,-7.60134722222e-07
SOLUSD,1756976400000,-1.925645833333e-06
SOLUSD,1756980000000,-2.0893375e-06
SOLUSD,1756983600000,-4.092622222222e-06
SOLUSD,1756987200000,-3.017772222222e-06
SOLUSD,1756990800000,-1.9920833333e-08
SOLUSD,1756994400000,-3.753875e-07
SOLUSD,1756998000000,2.319773611111e-06
SOLUSD,1757001600000,1.2593198611111e-05
SOLUSD,1757005200000,1.2425284722222e-05
SOLUSD,1757008800000,1.3788206944444e-05
SOLUSD,1757012400000,5.370601388889e-06
SOLUSD,1757016000000,2.935806944444e-06
SOLUSD,1757019600000,6.441661111111e-06
SOLUSD,1757023200000,7.758436111111e-06
SOLUSD,1757026800000,-2.647798611111e-06
SOLUSD,1757030400000,-8.088938888889e-06
SOLUSD,1757034000000,-3.591258333333e-06
SOLUSD,1757037600000,-1.888120833333e-06
SOLUSD,1757041200000,-3.114027777778e-06
SOLUSD,1757044800000,-3.8168125e-06
SOLUSD,1757048400000,5.612215277778e-06
SOLUSD,1757052000000,6.680093055556e-06
SOLUSD,1757055600000,7.634447222222e-06
SOLUSD,1757059200000,8.729711111111e-06
SOLUSD,1757062800000,2.0915375e-06
SOLUSD,1757066400000,3.073451388889e-06
SOLUSD,1757070000000,2.644525e-06
SOLUSD,1757073600000,1.805788888889e-06
SOLUSD,1757077200000,5.214256944444e-06
SOLUSD,1757080800000,6.551148611111e-06
SOLUSD,1757084400000,-9.648211111111e-06
SOLUSD,1757088000000,-6.526122222222e-06
SOLUSD,1757091600000,-5.787306944444e-06
SOLUSD,1757095200000,-1.769856944444e-06
SOLUSD,1757098800000,6.510348611111e-06
SOLUSD,1757102400000,1.1870515277778e-05
SOLUSD,1757106000000,8.490818055556e-06
SOLUSD,1757109600000,7.603972222222e-06
SOLUSD,1757113200000,9.816654166667e-06
SOLUSD,1757116800000,8.277558333333e-06
SOLUSD,1757120400000,9.703206944444e-06
SOLUSD,1757124000000,8.059551388889e-06
SOLUSD,1757127600000,9.386368055556e-06
SOLUSD,1757131200000,1.03907875e-05
SOLUSD,1757134800000,2.829490277778e-06
SOLUSD,1757138400000,3.186644444444e-06
SOLUSD,1757142000000,7.635813888889e-06
SOLUSD,1757145600000,1.1876254166667e-05
SOLUSD,1757149200000,1.1504977777778e-05
SOLUSD,1757152800000,5.678033333333e-06
SOLUSD,1757156400000,8.025947222222e-06
SOLUSD,1757160000000,5.046127777778e-06
SOLUSD,1757163600000,7.506101388889e-06
SOLUSD,1757167200000,2.731354166667e-06
SOLUSD,1757170800000,4.624472222222e-06
SOLUSD,1757174400000,2.416765277778e-06
SOLUSD,1757178000000,1.1381734722222e-05
SOLUSD,1757181600000,4.734323611111e-06
SOLUSD,1757185200000,1.0369270833333e-05
SOLUSD,1757188800000,1.05865375e-05
