symbol,fundingTime,fundingRate
SUIUSD,1756886400000,-4.350223611111e-06
SUIUSD,1756890000000,3.044472222222e-06
SUIUSD,1756893600000,5.031397222222e-06
SUIUSD,1756897200000,4.855933333333e-06
SUIUSD,1756900800000,1.748518055556e-06
SUIUSD,1756904400000,4.580209722222e-06
SUIUSD,1756908000000,6.4055125e-06
SUIUSD,1756911600000,6.916176388889e-06
SUIUSD,1756915200000,1.4330934722222e-05
SUIUSD,1756918800000,1.0311843055556e-05
SUIUSD,1756922400000,1.4777563888889e-05
SUIUSD,1756926000000,1.918775e-05
SUIUSD,1756929600000,2.8640166666667e-05
SUIUSD,1756933200000,1.9525393055556e-05
SUIUSD,1756936800000,1.1717933333333e-05
SUIUSD,1756940400000,1.38071375e-05
SUIUSD,1756944000000,1.6627094444444e-05
SUIUSD,1756947600000,2.3099633333333e-05
SUIUSD,1756951200000,1.3990638888889e-05
SUIUSD,1756954800000,1.4532541666667e-05
SUIUSD,1756958400000,1.6048341666667e-05
SUIUSD,1756962000000,3.3328034722222e-05
SUIUSD,1756965600000,2.58327625e-05
SUIUSD,1756969200000,2.50675e-05
SUIUSD,1756972800000,2.5624155555556e-05
SUIUSD,1756976400000,1.8970791666667e-05
SUIUSD,1756980000000,1.5800306944444e-05
SUIUSD,1756983600000,2.1188148611111e-05
SUIUSD,1756987200000,1.2979318055556e-05
SUIUSD,1756990800000,5.231552777778e-06
SUIUSD,1756994400000,6.638372222222e-06
SUIUSD,1756998000000,2.014908333333e-06
SUIUSD,1757001600000,1.1652506944444e-05
SUIUSD,1757005200000,7.828411111111e-06
SUIUSD,1757008800000,3.735111111111e-06
SUIUSD,1757012400000,-8.4544444444e-08
SUIUSD,1757016000000,-7.058041666667e-06
SUIUSD,1757019600000,-1.997079166667e-06
SUIUSD,1757023200000,4.238670833333e-06
SUIUSD,1757026800000,-1.13638888889e-07
SUIUSD,1757030400000,-4.372601388889e-06
SUIUSD,1757034000000,-5.10506944444e-07
SUIUSD,1757037600000,9.031134722222e-06
SUIUSD,1757041200000,1.2504598611111e-05
SUIUSD,1757044800000,2.174613888889e-06
SUIUSD,1757048400000,7.408026388889e-06
SUIUSD,1757052000000,1.16751388889e-07
SUIUSD,1757055600000,1.5715227777778e-05
SUIUSD,1757059200000,1.8741372222222e-05
SUIUSD,1757062800000,2.1825491666667e-05
SUIUSD,1757066400000,2.0790716666667e-05
SUIUSD,1757070000000,1.9866338888889e-05
SUIUSD,1757073600000,2.7015240277778e-05
SUIUSD,1757077200000,2.6273669444444e-05
SUIUSD,1757080800000,5.508309722222e-06
SUIUSD,1757084400000,-1.361783333333e-06
SUIUSD,1757088000000,7.954080555556e-06
SUIUSD,1757091600000,2.989745833333e-06
SUIUSD,1757095200000,1.9745875e-06
SUIUSD,1757098800000,8.232225e-06
SUIUSD,1757102400000,8.818369444444e-06
SUIUSD,1757106000000,7.989229166667e-06
SUIUSD,1757109600000,-1.497165277778e-06
SUIUSD,1757113200000,5.005301388889e-06
SUIUSD,1757116800000,4.374352777778e-06
SUIUSD,1757120400000,7.382456944444e-06
SUIUSD,1757124000000,-2.30954166667e-07
SUIUSD,1757127600000,9.58e-08
SUIUSD,1757131200000,3.324401388889e-06
SUIUSD,1757134800000,-5.306179166667e-06
SUIUSD,1757138400000,-5.217338888889e-06
SUIUSD,1757142000000,5.602209722222e-06
SUIUSD,1757145600000,7.80270833333e-07
SUIUSD,1757149200000,3.18240277778e-07
SUIUSD,1757152800000,-1.341013888889e-06
SUIUSD,1757156400000,2.579559722222e-06
SUIUSD,1757160000000,2.2516125e-06
SUIUSD,1757163600000,4.19965e-06
SUIUSD,1757167200000,4.916784722222e-06
SUIUSD,1757170800000,1.6176904166667e-05
SUIUSD,1757174400000,8.986066666667e-06
SUIUSD,1757178000000,1.2504244444444e-05
SUIUSD,1757181600000,5.903002777778e-06
SUIUSD,1757185200000,1.1356518055556e-05
SUIUSD,1757188800000,6.643020833333e-06
SUIUSD,1757192400000,1.3276704166667e-05
SUIUSD,1757196000000,1.0178220833333e-05
SUIUSD,1757199600000,8.970366666667e-06
SUIUSD,1757203200000,5.903234722222e-06
SUIUSD,1757206800000,9.620470833333e-06
SUIUSD,1757210400000,8.561965277778e-06
SUIUSD,1757214000000,7.006516666667e-06
SUIUSD,1757217600000,6.449765277778e-06
SUIUSD,1757221200000,8.8123e-06
SUIUSD,1757224800000,1.5696463888889e-05
SUIUSD,1757228400000,8.287733333333e-06
SUIUSD,1757232000000,1.1294820833333e-05
SUIUSD,1757235600000,1.6778648611111e-05
SUIUSD,1757239200000,1.3634169444444e-05
SUIUSD,1757242800000,1.9729229166667e-05
SUIUSD,1757246400000,2.1552972222222e-05
SUIUSD,1757250000000,1.7261109722222e-05
SUIUSD,1757253600000,1.10182375e-05
SUIUSD,1757257200000,1.3126409722222e-05
SUIUSD,1757260800000,9.306434722222e-06
SUIUSD,1757264400000,6.215843055556e-06
SUIUSD,1757268000000,6.796986111111e-06
SUIUSD,1757271600000,9.883804166667e-06
SUIUSD,1757275200000,1.7545779166667e-05
SUIUSD,1757278800000,1.6417545833333e-05
SUIUSD,1757282400000,1.3891318055556e-05
SUIUSD,1757286000000,1.7441106944444e-05
SUIUSD,1757289600000,1.1566747222222e-05
SUIUSD,1757293200000,1.5386397222222e-05
SUIUSD,1757296800000,1.2564131944444e-05
SUIUSD,1757300400000,1.6652479166667e-05
SUIUSD,1757304000000,1.4780536111111e-05
SUIUSD,1757307600000,1.0387023611111e-05
SUIUSD,1757311200000,1.1932684722222e-05
SUIUSD,1757314800000,1.3679584722222e-05
SUIUSD,1757318400000,1.5723144444444e-05
SUIUSD,1757322000000,2.0559391666667e-05
SUIUSD,1757325600000,9.175670833333e-06
SUIUSD,1757329200000,-2.3038888889e-08
SUIUSD,1757332800000,4.799943055556e-06
SUIUSD,1757336400000,3.225731944444e-06
SUIUSD,1757340000000,6.759283333333e-06
SUIUSD,1757343600000,4.103068055556e-06
SUIUSD,1757347200000,1.576531944444e-06
SUIUSD,1757350800000,-5.361279166667e-06
SUIUSD,1757354400000,5.566134722222e-06
SUIUSD,1757358000000,1.5209931944444e-05
SUIUSD,1757361600000,1.0792326388889e-05
SUIUSD,1757365200000,1.0937444444444e-05
SUIUSD,1757368800000,1.6472129166667e-05
SUIUSD,1757372400000,1.1017572222222e-05
SUIUSD,1757376000000,1.3318219444444e-05
SUIUSD,1757379600000,-1.5977418055556e-05
SUIUSD,1757383200000,-2.2097272222222e-05
SUIUSD,1757386800000,-1.2473447222222e-05
SUIUSD,1757390400000,-1.0559975e-05
SUIUSD,1757394000000,-1.7117701388889e-05
SUIUSD,1757397600000,-1.2646445833333e-05
SUIUSD,1757401200000,-2.130466666667e-06
SUIUSD,1757404800000,-3.420106944444e-06
SUIUSD,1757408400000,-7.776041666667e-06
SUIUSD,1757412000000,-3.551670833333e-06
SUIUSD,1757415600000,8.08840053763e-07
SUIUSD,1757419200000,9.51911290323e-07
SUIUSD,1757422800000,6.622948611111e-06
SUIUSD,1757426400000,-1.07856944444e-07
SUIUSD,1757430000000,-2.562915277778e-06
SUIUSD,1757433600000,6.153459722222e-06
SUIUSD,1757437200000,1.1624204166667e-05
SUIUSD,1757440800000,8.076493055556e-06
SUIUSD,1757444400000,8.984225e-06
SUIUSD,1757448000000,1.2180076388889e-05
SUIUSD,1757451600000,3.769684722222e-06
SUIUSD,1757455200000,5.518151388889e-06
SUIUSD,1757458800000,5.966091666667e-06
SUIUSD,1757462400000,2.423769444444e-06
SUIUSD,1757466000000,3.489351388889e-06
SUIUSD,1757469600000,4.102084722222e-06
SUIUSD,1757473200000,5.331895833333e-06
SUIUSD,1757476800000,1.1279226388889e-05
SUIUSD,1757480400000,1.0070611111111e-05
SUIUSD,1757484000000,9.823963888889e-06
SUIUSD,1757487600000,1.0634013888889e-05
SUIUSD,1757491200000,5.342956989247e-06
SUIUSD,1757494800000,-5.708442204301e-06
SUIUSD,1757498400000,7.110328703704e-06
SUIUSD,1757502000000,6.074618055556e-06
SUIUSD,1757505600000,1.0893793055556e-05
SUIUSD,1757509200000,9.673676388889e-06
SUIUSD,1757512800000,-1.3532159722222e-05
SUIUSD,1757516400000,-1.6159343055556e-05
SUIUSD,1757520000000,-1.2598776388889e-05
SUIUSD,1757523600000,1.2971818055556e-05
SUIUSD,1757527200000,1.5482672222222e-05
SUIUSD,1757530800000,1.2803522222222e-05
SUIUSD,1757534400000,5.720395833333e-06
SUIUSD,1757538000000,7.027584722222e-06
SUIUSD,1757541600000,4.0998625e-06
SUIUSD,1757545200000,3.677045833333e-06
SUIUSD,1757548800000,3.21701388889e-07
SUIUSD,1757552400000,-1.972726388889e-06
SUIUSD,1757556000000,2.187848611111e-06
SUIUSD,1757559600000,2.878934722222e-06
SUIUSD,1757563200000,2.497643055556e-06
SUIUSD,1757566800000,-3.426326388889e-06
SUIUSD,1757570400000,6.45431944444e-07
SUIUSD,1757574000000,5.610915277778e-06
SUIUSD,1757577600000,9.261571428571e-06
SUIUSD,1757581200000,7.721626388889e-06
SUIUSD,1757584800000,6.860061111111e-06
SUIUSD,1757588400000,1.4822388888889e-05
SUIUSD,1757592000000,7.919180555556e-06
SUIUSD,1757595600000,8.174202777778e-06
SUIUSD,1757599200000,1.1013365277778e-05
SUIUSD,1757602800000,6.042594444444e-06
SUIUSD,1757606400000,3.943872222222e-06
SUIUSD,1757610000000,8.073398611111e-06
SUIUSD,1757613600000,1.0511477777778e-05
SUIUSD,1757617200000,1.6335973611111e-05
SUIUSD,1757620800000,6.046983333333e-06
SUIUSD,1757624400000,5.165904166667e-06
SUIUSD,1757628000000,9.260077777778e-06
SUIUSD,1757631600000,1.862308333333e-06
SUIUSD,1757635200000,7.335613888889e-06
SUIUSD,1757638800000,1.1661855555556e-05
SUIUSD,1757642400000,8.975022222222e-06
SUIUSD,1757646000000,2.1247509722222e-05
SUIUSD,1757649600000,1.5441401388889e-05
SUIUSD,1757653200000,1.3025219444444e-05
SUIUSD,1757656800000,1.3493681944444e-05
SUIUSD,1757660400000,6.639448611111e-06
SUIUSD,1757664000000,2.3549018055556e-05
SUIUSD,1757667600000,1.9482218055556e-05
SUIUSD,1757671200000,1.5693601388889e-05
SUIUSD,1757674800000,1.5469093055556e-05
SUIUSD,1757678400000,1.6221565277778e-05
SUIUSD,1757682000000,9.004201388889e-06
SUIUSD,1757685600000,1.4642645833333e-05
SUIUSD,1757689200000,1.3976066666667e-05
SUIUSD,1757692800000,1.1217711111111e-05
SUIUSD,1757696400000,1.6232934722222e-05
SUIUSD,1757700000000,1.7874683333333e-05
SUIUSD,1757703600000,1.2525266666667e-05
SUIUSD,1757707200000,2.166966666667e-06
SUIUSD,1757710800000,7.278998611111e-06
SUIUSD,1757714400000,1.2957381944444e-05
SUIUSD,1757718000000,1.5524552777778e-05
SUIUSD,1757721600000,1.8921127777778e-05
SUIUSD,1757725200000,2.4303723611111e-05
SUIUSD,1757728800000,1.4557048611111e-05
SUIUSD,1757732400000,1.9395038888889e-05
SUIUSD,1757736000000,2.3979923611111e-05
SUIUSD,1757739600000,1.9438166666667e-05
SUIUSD,1757743200000,1.7304377777778e-05
SUIUSD,1757746800000,1.5447168055556e-05
SUIUSD,1757750400000,1.7236163888889e-05
SUIUSD,1757754000000,2.2045494444444e-05
SUIUSD,1757757600000,7.082991666667e-06
SUIUSD,1757761200000,4.16972983871e-06
SUIUSD,1757764800000,1.5008560483871e-05
SUIUSD,1757768400000,3.6382805555556e-05
SUIUSD,1757772000000,3.1268394444444e-05
SUIUSD,1757775600000,1.6648240277778e-05
SUIUSD,1757779200000,-6.24390277778e-07
