symbol,fundingTime,fundingRate
TAOUSD,1756886400000,2.3476908333333e-05
TAOUSD,1756890000000,2.4439379166667e-05
TAOUSD,1756893600000,1.8146445833333e-05
TAOUSD,1756897200000,2.8926225e-05
TAOUSD,1756900800000,3.2256e-05
TAOUSD,1756904400000,2.7711533333333e-05
TAOUSD,1756908000000,2.6823597222222e-05
TAOUSD,1756911600000,3.4503977777778e-05
TAOUSD,1756915200000,1.9311247222222e-05
TAOUSD,1756918800000,1.6600659722222e-05
TAOUSD,1756922400000,1.3611672222222e-05
TAOUSD,1756926000000,1.8844143055556e-05
TAOUSD,1756929600000,2.0023540277778e-05
TAOUSD,1756933200000,3.2990940277778e-05
TAOUSD,1756936800000,3.8490994444444e-05
TAOUSD,1756940400000,3.8378141666667e-05
TAOUSD,1756944000000,3.7338288888889e-05
TAOUSD,1756947600000,2.8758661111111e-05
TAOUSD,1756951200000,2.2782586111111e-05
TAOUSD,1756954800000,1.8376618055556e-05
TAOUSD,1756958400000,1.5167456944444e-05
TAOUSD,1756962000000,1.2879316666667e-05
TAOUSD,1756965600000,1.8089708333333e-05
TAOUSD,1756969200000,-6.396197222222e-06
TAOUSD,1756972800000,-7.908608333333e-06
TAOUSD,1756976400000,-1.5567205555556e-05
TAOUSD,1756980000000,-1.1690270833333e-05
TAOUSD,1756983600000,4.607133333333e-06
TAOUSD,1756987200000,1.0815506944444e-05
TAOUSD,1756990800000,1.0293375e-05
TAOUSD,1756994400000,9.349130555556e-06
TAOUSD,1756998000000,9.891295833333e-06
TAOUSD,1757001600000,3.4735598611111e-05
TAOUSD,1757005200000,3.4532873611111e-05
TAOUSD,1757008800000,2.1421215277778e-05
TAOUSD,1757012400000,1.7189411111111e-05
TAOUSD,1757016000000,1.2205795833333e-05
TAOUSD,1757019600000,1.0533355555556e-05
TAOUSD,1757023200000,1.1929075e-05
TAOUSD,1757026800000,1.1028016666667e-05
TAOUSD,1757030400000,2.1101304166667e-05
TAOUSD,1757034000000,2.6374108333333e-05
TAOUSD,1757037600000,1.0587779166667e-05
TAOUSD,1757041200000,3.985952777778e-06
TAOUSD,1757044800000,3.675820833333e-06
TAOUSD,1757048400000,3.012738888889e-06
TAOUSD,1757052000000,1.108545698925e-06
TAOUSD,1757055600000,1.196186827957e-06
TAOUSD,1757059200000,8.0985e-06
TAOUSD,1757062800000,3.772080555556e-06
TAOUSD,1757066400000,1.2599019444444e-05
TAOUSD,1757070000000,3.3114340277778e-05
TAOUSD,1757073600000,3.0728665277778e-05
TAOUSD,1757077200000,2.6000915277778e-05
TAOUSD,1757080800000,1.9052618055556e-05
TAOUSD,1757084400000,2.1412801388889e-05
TAOUSD,1757088000000,3.9314120833333e-05
TAOUSD,1757091600000,3.8006276388889e-05
TAOUSD,1757095200000,3.7268873611111e-05
TAOUSD,1757098800000,4.1831688888889e-05
TAOUSD,1757102400000,4.021e-05
TAOUSD,1757106000000,4.2935993055556e-05
TAOUSD,1757109600000,4.8628613888889e-05
TAOUSD,1757113200000,4.7382827777778e-05
TAOUSD,1757116800000,5.3055113888889e-05
TAOUSD,1757120400000,5.03428875e-05
TAOUSD,1757124000000,4.8591597222222e-05
TAOUSD,1757127600000,5.9360108333333e-05
TAOUSD,1757131200000,5.7256872222222e-05
TAOUSD,1757134800000,5.6198444444444e-05
TAOUSD,1757138400000,5.7257255555556e-05
TAOUSD,1757142000000,5.1806497222222e-05
TAOUSD,1757145600000,4.8951086111111e-05
TAOUSD,1757149200000,4.21203125e-05
TAOUSD,1757152800000,2.6246845833333e-05
TAOUSD,1757156400000,3.4531795833333e-05
TAOUSD,1757160000000,3.71689875e-05
TAOUSD,1757163600000,3.4266663888889e-05
TAOUSD,1757167200000,2.6095741666667e-05
TAOUSD,1757170800000,2.8071879166667e-05
TAOUSD,1757174400000,2.8175202777778e-05
TAOUSD,1757178000000,2.5536261111111e-05
TAOUSD,1757181600000,2.5796491666667e-05
TAOUSD,1757185200000,2.5536676388889e-05
TAOUSD,1757188800000,1.5675026388889e-05
TAOUSD,1757192400000,1.01506375e-05
TAOUSD,1757196000000,1.5086365277778e-05
TAOUSD,1757199600000,1.84683625e-05
TAOUSD,1757203200000,2.0247147222222e-05
TAOUSD,1757206800000,2.2305086111111e-05
TAOUSD,1757210400000,1.7483473611111e-05
TAOUSD,1757214000000,1.32615625e-05
TAOUSD,1757217600000,1.0199166666667e-05
TAOUSD,1757221200000,1.3590381944444e-05
TAOUSD,1757224800000,1.5456825e-05
TAOUSD,1757228400000,7.982488888889e-06
TAOUSD,1757232000000,4.20075e-06
TAOUSD,1757235600000,1.4574966666667e-05
TAOUSD,1757239200000,1.5338325e-05
TAOUSD,1757242800000,1.37991125e-05
TAOUSD,1757246400000,1.618185e-05
TAOUSD,1757250000000,1.594845e-05
TAOUSD,1757253600000,2.3257094444444e-05
TAOUSD,1757257200000,2.6217777777778e-05
TAOUSD,1757260800000,2.8580954166667e-05
TAOUSD,1757264400000,2.6218334722222e-05
TAOUSD,1757268000000,3.4967694444444e-05
TAOUSD,1757271600000,3.3112055555556e-05
TAOUSD,1757275200000,2.9358391666667e-05
TAOUSD,1757278800000,3.4131222222222e-05
TAOUSD,1757282400000,3.3115554166667e-05
TAOUSD,1757286000000,2.8394536111111e-05
TAOUSD,1757289600000,3.2537241935484e-05
TAOUSD,1757293200000,2.6804216397849e-05
TAOUSD,1757296800000,1.7205747222222e-05
TAOUSD,1757300400000,1.0548968055556e-05
TAOUSD,1757304000000,1.4996506944444e-05
TAOUSD,1757307600000,2.230375e-05
TAOUSD,1757311200000,1.3572804166667e-05
TAOUSD,1757314800000,1.1861433333333e-05
TAOUSD,1757318400000,-4.822731944444e-06
TAOUSD,1757322000000,-3.266722222222e-06
TAOUSD,1757325600000,4.0858333333e-08
TAOUSD,1757329200000,2.8550154166667e-05
TAOUSD,1757332800000,2.9191822222222e-05
TAOUSD,1757336400000,2.6462226388889e-05
TAOUSD,1757340000000,2.7618931944444e-05
TAOUSD,1757343600000,1.6417125e-05
TAOUSD,1757347200000,7.831188888889e-06
TAOUSD,1757350800000,2.568227777778e-06
TAOUSD,1757354400000,2.333098611111e-06
TAOUSD,1757358000000,1.9751181944444e-05
TAOUSD,1757361600000,1.8877791666667e-05
TAOUSD,1757365200000,2.3688745833333e-05
TAOUSD,1757368800000,3.92702125e-05
TAOUSD,1757372400000,3.6208834722222e-05
TAOUSD,1757376000000,4.6673522222222e-05
TAOUSD,1757379600000,2.5472825e-05
TAOUSD,1757383200000,2.5322763888889e-05
TAOUSD,1757386800000,2.7141901388889e-05
TAOUSD,1757390400000,3.0800269444444e-05
TAOUSD,1757394000000,2.4585531944444e-05
TAOUSD,1757397600000,2.9376965277778e-05
TAOUSD,1757401200000,3.8435691666667e-05
TAOUSD,1757404800000,4.1258705555556e-05
TAOUSD,1757408400000,2.1553815277778e-05
TAOUSD,1757412000000,3.5304938888889e-05
TAOUSD,1757415600000,3.1361696236559e-05
TAOUSD,1757419200000,2.7854538978495e-05
TAOUSD,1757422800000,2.6821941666667e-05
TAOUSD,1757426400000,2.4265708333333e-05
TAOUSD,1757430000000,-9.709304166667e-06
TAOUSD,1757433600000,-1.3131263888889e-05
TAOUSD,1757437200000,-1.0576220833333e-05
TAOUSD,1757440800000,-3.460133333333e-06
TAOUSD,1757444400000,-6.517834722222e-06
TAOUSD,1757448000000,2.94506944444e-07
TAOUSD,1757451600000,1.027565e-05
