symbol,fundingTime,fundingRate
TIAUSD,1756886400000,3.3286004166667e-05
TIAUSD,1756890000000,3.3973893055556e-05
TIAUSD,1756893600000,3.0107061111111e-05
TIAUSD,1756897200000,3.3442286111111e-05
TIAUSD,1756900800000,1.7817815277778e-05
TIAUSD,1756904400000,1.6185475e-05
TIAUSD,1756908000000,2.0518776388889e-05
TIAUSD,1756911600000,2.2307384722222e-05
TIAUSD,1756915200000,2.4849819444444e-05
TIAUSD,1756918800000,2.1752415277778e-05
TIAUSD,1756922400000,2.5501034722222e-05
TIAUSD,1756926000000,2.3287870833333e-05
TIAUSD,1756929600000,3.0493081944444e-05
TIAUSD,1756933200000,2.91687375e-05
TIAUSD,1756936800000,2.6511781944444e-05
TIAUSD,1756940400000,3.1481781944444e-05
TIAUSD,1756944000000,4.8587605555556e-05
TIAUSD,1756947600000,5.4533777777778e-05
TIAUSD,1756951200000,5.1601998611111e-05
TIAUSD,1756954800000,4.849125e-05
TIAUSD,1756958400000,5.1250325e-05
TIAUSD,1756962000000,4.63048375e-05
TIAUSD,1756965600000,4.6040476388889e-05
TIAUSD,1756969200000,4.2191975e-05
TIAUSD,1756972800000,2.8603105555556e-05
TIAUSD,1756976400000,2.7988280555556e-05
TIAUSD,1756980000000,2.7029872222222e-05
TIAUSD,1756983600000,3.4304365277778e-05
TIAUSD,1756987200000,3.6037509722222e-05
TIAUSD,1756990800000,2.4168125e-05
TIAUSD,1756994400000,2.2911816666667e-05
TIAUSD,1756998000000,1.8438927777778e-05
TIAUSD,1757001600000,1.3517301388889e-05
TIAUSD,1757005200000,1.1823698611111e-05
TIAUSD,1757008800000,1.76925125e-05
TIAUSD,1757012400000,1.8172836111111e-05
TIAUSD,1757016000000,2.0849920833333e-05
TIAUSD,1757019600000,3.7878830555556e-05
TIAUSD,1757023200000,3.3051776388889e-05
TIAUSD,1757026800000,2.7873761111111e-05
TIAUSD,1757030400000,2.3877826388889e-05
TIAUSD,1757034000000,2.1491025e-05
TIAUSD,1757037600000,2.49574e-05
TIAUSD,1757041200000,2.1495445833333e-05
TIAUSD,1757044800000,-2.718723611111e-06
TIAUSD,1757048400000,5.2748611111e-08
TIAUSD,1757052000000,7.811561111111e-06
TIAUSD,1757055600000,1.6879969444444e-05
TIAUSD,1757059200000,1.1853241666667e-05
TIAUSD,1757062800000,1.7438223611111e-05
TIAUSD,1757066400000,2.1156729166667e-05
TIAUSD,1757070000000,2.2749136111111e-05
TIAUSD,1757073600000,2.0821093055556e-05
TIAUSD,1757077200000,1.608715e-05
TIAUSD,1757080800000,6.627665277778e-06
TIAUSD,1757084400000,-1.635216666667e-06
TIAUSD,1757088000000,2.809391666667e-06
TIAUSD,1757091600000,8.01919444444e-07
TIAUSD,1757095200000,-5.684086111111e-06
TIAUSD,1757098800000,1.6298554166667e-05
TIAUSD,1757102400000,2.1875586111111e-05
TIAUSD,1757106000000,2.8596868055556e-05
TIAUSD,1757109600000,1.9262101388889e-05
TIAUSD,1757113200000,3.2208922222222e-05
TIAUSD,1757116800000,4.8830370833333e-05
TIAUSD,1757120400000,5.6123323611111e-05
TIAUSD,1757124000000,5.6972980555556e-05
TIAUSD,1757127600000,5.0646230555556e-05
TIAUSD,1757131200000,5.6971090277778e-05
TIAUSD,1757134800000,4.936275e-05
TIAUSD,1757138400000,4.3182454166667e-05
TIAUSD,1757142000000,4.2237559722222e-05
TIAUSD,1757145600000,3.2663770833333e-05
TIAUSD,1757149200000,3.3410011111111e-05
TIAUSD,1757152800000,3.5332091666667e-05
TIAUSD,1757156400000,3.9314076388889e-05
TIAUSD,1757160000000,3.2024826388889e-05
TIAUSD,1757163600000,2.9359143055556e-05
TIAUSD,1757167200000,2.8567579166667e-05
TIAUSD,1757170800000,3.3496365277778e-05
TIAUSD,1757174400000,2.3637006944444e-05
TIAUSD,1757178000000,2.55774e-05
TIAUSD,1757181600000,2.6371408333333e-05
TIAUSD,1757185200000,4.0623263888889e-05
TIAUSD,1757188800000,3.77806625e-05
TIAUSD,1757192400000,4.3164497222222e-05
TIAUSD,1757196000000,3.0676704166667e-05
TIAUSD,1757199600000,3.2523731944444e-05
TIAUSD,1757203200000,2.8442955555556e-05
TIAUSD,1757206800000,2.5252204166667e-05
TIAUSD,1757210400000,2.6733823611111e-05
TIAUSD,1757214000000,3.21780875e-05
TIAUSD,1757217600000,2.8562283333333e-05
TIAUSD,1757221200000,3.7322465277778e-05
TIAUSD,1757224800000,3.9149858333333e-05
TIAUSD,1757228400000,3.3619605555556e-05
TIAUSD,1757232000000,3.0581001388889e-05
TIAUSD,1757235600000,2.6102155555556e-05
TIAUSD,1757239200000,1.7045393055556e-05
TIAUSD,1757242800000,2.0335426388889e-05
TIAUSD,1757246400000,2.1224883333333e-05
TIAUSD,1757250000000,2.0647697222222e-05
TIAUSD,1757253600000,1.8565998611111e-05
TIAUSD,1757257200000,4.2893056944444e-05
TIAUSD,1757260800000,3.55823875e-05
TIAUSD,1757264400000,2.4630379166667e-05
TIAUSD,1757268000000,1.8460902777778e-05
TIAUSD,1757271600000,2.3684280555556e-05
TIAUSD,1757275200000,2.9182559722222e-05
TIAUSD,1757278800000,2.6683490277778e-05
TIAUSD,1757282400000,2.5259668055556e-05
TIAUSD,1757286000000,2.6458576388889e-05
TIAUSD,1757289600000,3.5709866666667e-05
TIAUSD,1757293200000,3.7871556944444e-05
TIAUSD,1757296800000,4.0574015277778e-05
TIAUSD,1757300400000,4.3986677777778e-05
TIAUSD,1757304000000,4.6567748611111e-05
TIAUSD,1757307600000,4.51980625e-05
TIAUSD,1757311200000,4.7103818055556e-05
TIAUSD,1757314800000,5.1220802777778e-05
TIAUSD,1757318400000,4.6218677777778e-05
TIAUSD,1757322000000,3.3621e-05
TIAUSD,1757325600000,2.5518902777778e-05
TIAUSD,1757329200000,4.22476e-05
TIAUSD,1757332800000,4.8582829166667e-05
TIAUSD,1757336400000,4.6309401388889e-05
TIAUSD,1757340000000,3.3007488888889e-05
TIAUSD,1757343600000,3.2588347222222e-05
TIAUSD,1757347200000,3.5770023611111e-05
TIAUSD,1757350800000,2.1654454166667e-05
TIAUSD,1757354400000,1.7802011111111e-05
TIAUSD,1757358000000,2.2534254166667e-05
TIAUSD,1757361600000,1.5159391666667e-05
TIAUSD,1757365200000,2.0886648611111e-05
TIAUSD,1757368800000,1.8547533333333e-05
TIAUSD,1757372400000,1.38675625e-05
TIAUSD,1757376000000,2.2609719444444e-05
TIAUSD,1757379600000,3.4379463888889e-05
TIAUSD,1757383200000,3.3220948611111e-05
TIAUSD,1757386800000,3.5821961111111e-05
TIAUSD,1757390400000,3.9351451388889e-05
TIAUSD,1757394000000,3.9540923611111e-05
TIAUSD,1757397600000,4.0795311111111e-05
TIAUSD,1757401200000,2.6710311111111e-05
TIAUSD,1757404800000,1.3221376388889e-05
TIAUSD,1757408400000,2.1364770833333e-05
TIAUSD,1757412000000,2.1000165277778e-05
TIAUSD,1757415600000,1.5222649193548e-05
TIAUSD,1757419200000,1.7169280913978e-05
TIAUSD,1757422800000,1.0286020833333e-05
TIAUSD,1757426400000,-5.407981944444e-06
TIAUSD,1757430000000,-2.0289354166667e-05
TIAUSD,1757433600000,-1.9711556944444e-05
TIAUSD,1757437200000,-2.7893576388889e-05
TIAUSD,1757440800000,-2.8100391666667e-05
TIAUSD,1757444400000,-3.6756023611111e-05
TIAUSD,1757448000000,-3.30463875e-05
TIAUSD,1757451600000,-6.473016666667e-06
TIAUSD,1757455200000,-1.5034086111111e-05
TIAUSD,1757458800000,-4.2753375e-06
TIAUSD,1757462400000,1.8133123611111e-05
TIAUSD,1757466000000,7.369656944444e-06
TIAUSD,1757469600000,2.98601388889e-07
TIAUSD,1757473200000,3.63131944444e-07
TIAUSD,1757476800000,3.778486111111e-06
TIAUSD,1757480400000,2.326036111111e-06
TIAUSD,1757484000000,-9.128844444444e-06
TIAUSD,1757487600000,-1.5555477777778e-05
TIAUSD,1757491200000,-2.3296057795699e-05
TIAUSD,1757494800000,-1.2935041666667e-05
TIAUSD,1757498400000,-2.2301662037037e-05
TIAUSD,1757502000000,-1.3669580555556e-05
TIAUSD,1757505600000,-1.6319419444444e-05
TIAUSD,1757509200000,-1.5782066666667e-05
TIAUSD,1757512800000,-1.6309170833333e-05
TIAUSD,1757516400000,8.539365277778e-06
TIAUSD,1757520000000,-1.631501388889e-06
TIAUSD,1757523600000,-3.801972222222e-06
TIAUSD,1757527200000,-1.1683248611111e-05
TIAUSD,1757530800000,-1.0476006944444e-05
TIAUSD,1757534400000,-1.9595631944444e-05
TIAUSD,1757538000000,-1.0739897222222e-05
TIAUSD,1757541600000,-2.754498611111e-06
TIAUSD,1757545200000,-5.716765277778e-06
TIAUSD,1757548800000,-6.848679166667e-06
TIAUSD,1757552400000,-7.370752777778e-06
TIAUSD,1757556000000,-1.0535558333333e-05
TIAUSD,1757559600000,1.861044444444e-06
TIAUSD,1757563200000,2.9369741666667e-05
TIAUSD,1757566800000,1.35812375e-05
TIAUSD,1757570400000,8.459825e-06
TIAUSD,1757574000000,6.248163888889e-06
TIAUSD,1757577600000,2.1716638392857e-05
TIAUSD,1757581200000,2.7667372222222e-05
TIAUSD,1757584800000,9.759916666667e-06
TIAUSD,1757588400000,2.2105326388889e-05
TIAUSD,1757592000000,1.6603409722222e-05
TIAUSD,1757595600000,1.4527605555556e-05
TIAUSD,1757599200000,2.4413840277778e-05
TIAUSD,1757602800000,1.6638352777778e-05
TIAUSD,1757606400000,4.12313888889e-07
TIAUSD,1757610000000,1.903359722222e-06
TIAUSD,1757613600000,1.5230105555556e-05
TIAUSD,1757617200000,1.60206e-05
TIAUSD,1757620800000,1.0366266666667e-05
TIAUSD,1757624400000,1.1416383333333e-05
TIAUSD,1757628000000,1.1024098611111e-05
TIAUSD,1757631600000,7.153613888889e-06
TIAUSD,1757635200000,1.6385179166667e-05
TIAUSD,1757638800000,1.0554294444444e-05
TIAUSD,1757642400000,1.0056697222222e-05
TIAUSD,1757646000000,1.3029865277778e-05
TIAUSD,1757649600000,3.7877893055556e-05
TIAUSD,1757653200000,3.6966265277778e-05
TIAUSD,1757656800000,3.11067875e-05
TIAUSD,1757660400000,2.7870920833333e-05
TIAUSD,1757664000000,4.0994518055556e-05
TIAUSD,1757667600000,2.1635633333333e-05
TIAUSD,1757671200000,8.10734722222e-07
TIAUSD,1757674800000,1.0077013888889e-05
