symbol,fundingTime,fundingRate
TRXUSD,1756886400000,-4.789406944444e-06
TRXUSD,1756890000000,-3.288140277778e-06
TRXUSD,1756893600000,8.71898611111e-07
TRXUSD,1756897200000,9.550058333333e-06
TRXUSD,1756900800000,1.0438651388889e-05
TRXUSD,1756904400000,2.118936111111e-06
TRXUSD,1756908000000,1.983848611111e-06
TRXUSD,1756911600000,8.351177777778e-06
TRXUSD,1756915200000,8.1849875e-06
TRXUSD,1756918800000,4.2908625e-06
TRXUSD,1756922400000,1.2285377777778e-05
TRXUSD,1756926000000,1.1590209722222e-05
TRXUSD,1756929600000,4.697405555556e-06
TRXUSD,1756933200000,3.586491666667e-06
TRXUSD,1756936800000,8.8325875e-06
TRXUSD,1756940400000,1.282808333333e-06
TRXUSD,1756944000000,7.82541666667e-07
TRXUSD,1756947600000,8.358715277778e-06
TRXUSD,1756951200000,1.1804338888889e-05
TRXUSD,1756954800000,1.2436963888889e-05
TRXUSD,1756958400000,7.31672222222e-07
TRXUSD,1756962000000,-4.309665277778e-06
TRXUSD,1756965600000,-1.6178606944444e-05
TRXUSD,1756969200000,-1.3690566666667e-05
TRXUSD,1756972800000,-1.4933476388889e-05
TRXUSD,1756976400000,-9.932513888889e-06
TRXUSD,1756980000000,1.155988888889e-06
TRXUSD,1756983600000,1.49565e-06
TRXUSD,1756987200000,9.74452777778e-07
TRXUSD,1756990800000,3.887781944444e-06
TRXUSD,1756994400000,-1.242551388889e-06
TRXUSD,1756998000000,-4.929323611111e-06
TRXUSD,1757001600000,-2.0676069444444e-05
TRXUSD,1757005200000,-7.633143055556e-06
TRXUSD,1757008800000,-1.1666675e-05
TRXUSD,1757012400000,-1.3053673611111e-05
TRXUSD,1757016000000,-1.3196931944444e-05
TRXUSD,1757019600000,-1.6772975e-05
TRXUSD,1757023200000,-1.2412366666667e-05
TRXUSD,1757026800000,-1.4848001388889e-05
TRXUSD,1757030400000,-1.0014605555556e-05
TRXUSD,1757034000000,-6.323951388889e-06
TRXUSD,1757037600000,-2.558354166667e-06
TRXUSD,1757041200000,3.036323611111e-06
TRXUSD,1757044800000,1.21252777778e-07
TRXUSD,1757048400000,-3.367906944444e-06
TRXUSD,1757052000000,4.717315277778e-06
TRXUSD,1757055600000,-1.918579166667e-06
TRXUSD,1757059200000,9.601261111111e-06
TRXUSD,1757062800000,1.1332091666667e-05
TRXUSD,1757066400000,8.454825e-06
TRXUSD,1757070000000,5.085472222222e-06
TRXUSD,1757073600000,5.075876388889e-06
TRXUSD,1757077200000,6.580126388889e-06
TRXUSD,1757080800000,1.2282169444444e-05
TRXUSD,1757084400000,-1.4566984722222e-05
TRXUSD,1757088000000,-2.1116515277778e-05
TRXUSD,1757091600000,-1.1311111111111e-05
TRXUSD,1757095200000,-2.6769684722222e-05
TRXUSD,1757098800000,-1.7348936111111e-05
TRXUSD,1757102400000,-8.758770833333e-06
TRXUSD,1757106000000,-1.4997433333333e-05
TRXUSD,1757109600000,-2.1905643055556e-05
TRXUSD,1757113200000,-2.2382498611111e-05
TRXUSD,1757116800000,-1.4067059722222e-05
TRXUSD,1757120400000,-1.4597838888889e-05
TRXUSD,1757124000000,-1.7068765277778e-05
TRXUSD,1757127600000,-2.3491945833333e-05
TRXUSD,1757131200000,-1.0694161111111e-05
TRXUSD,1757134800000,-1.3786838888889e-05
TRXUSD,1757138400000,-1.8773197222222e-05
TRXUSD,1757142000000,-9.103151388889e-06
TRXUSD,1757145600000,-8.265309722222e-06
TRXUSD,1757149200000,-8.235447222222e-06
TRXUSD,1757152800000,-1.4924554166667e-05
TRXUSD,1757156400000,-1.1920780555556e-05
TRXUSD,1757160000000,-9.663165277778e-06
TRXUSD,1757163600000,-1.5253723611111e-05
TRXUSD,1757167200000,-1.8499384722222e-05
TRXUSD,1757170800000,-2.495655e-05
TRXUSD,1757174400000,-3.0707801388889e-05
TRXUSD,1757178000000,-2.7498272222222e-05
TRXUSD,1757181600000,-2.6823351388889e-05
TRXUSD,1757185200000,-1.7957986111111e-05
TRXUSD,1757188800000,-2.0631855555556e-05
TRXUSD,1757192400000,-2.9296984722222e-05
TRXUSD,1757196000000,-4.5710884722222e-05
TRXUSD,1757199600000,-5.7032452777778e-05
TRXUSD,1757203200000,-7.9038065277778e-05
TRXUSD,1757206800000,-0.000124308159722222
TRXUSD,1757210400000,-0.000130023509722222
TRXUSD,1757214000000,-0.000179417904166667
TRXUSD,1757217600000,-9.7545620833333e-05
TRXUSD,1757221200000,-6.5185379166667e-05
TRXUSD,1757224800000,-6.0523930555556e-05
TRXUSD,1757228400000,-6.4037465277778e-05
TRXUSD,1757232000000,-5.5359591666667e-05
TRXUSD,1757235600000,-5.8622580555556e-05
TRXUSD,1757239200000,-5.6534438888889e-05
TRXUSD,1757242800000,-6.0716859722222e-05
TRXUSD,1757246400000,-4.9791379166667e-05
TRXUSD,1757250000000,-5.2944156944444e-05
TRXUSD,1757253600000,-3.75132e-05
TRXUSD,1757257200000,-3.5310070833333e-05
TRXUSD,1757260800000,-3.6774609722222e-05
TRXUSD,1757264400000,-4.2273169444444e-05
TRXUSD,1757268000000,-3.1975565277778e-05
TRXUSD,1757271600000,-2.80113375e-05
TRXUSD,1757275200000,-2.7580565277778e-05
TRXUSD,1757278800000,-2.3608173611111e-05
TRXUSD,1757282400000,-1.1956805555556e-05
TRXUSD,1757286000000,-1.6922077777778e-05
TRXUSD,1757289600000,-9.974897222222e-06
