symbol,fundingTime,fundingRate
UNIUSD,1756886400000,7.035311111111e-06
UNIUSD,1756890000000,1.289958333333e-06
UNIUSD,1756893600000,-6.40048611111e-07
UNIUSD,1756897200000,-1.502570833333e-06
UNIUSD,1756900800000,-1.513513888889e-06
UNIUSD,1756904400000,-4.903219444444e-06
UNIUSD,1756908000000,2.246625e-06
UNIUSD,1756911600000,1.2674966666667e-05
UNIUSD,1756915200000,8.398684722222e-06
UNIUSD,1756918800000,-9.00941666667e-07
UNIUSD,1756922400000,4.454511111111e-06
UNIUSD,1756926000000,5.254609722222e-06
UNIUSD,1756929600000,1.0413468055556e-05
UNIUSD,1756933200000,-8.69326388889e-07
UNIUSD,1756936800000,-2.599576388889e-06
UNIUSD,1756940400000,1.3139481944444e-05
UNIUSD,1756944000000,8.004191666667e-06
UNIUSD,1756947600000,6.881541666667e-06
UNIUSD,1756951200000,2.379055555556e-06
UNIUSD,1756954800000,3.775151388889e-06
UNIUSD,1756958400000,-4.24023611111e-07
UNIUSD,1756962000000,6.178254166667e-06
UNIUSD,1756965600000,3.40231944444e-07
UNIUSD,1756969200000,2.529341666667e-06
UNIUSD,1756972800000,-1.191315277778e-06
UNIUSD,1756976400000,-7.467131944444e-06
UNIUSD,1756980000000,-8.513005555556e-06
UNIUSD,1756983600000,-3.776368055556e-06
UNIUSD,1756987200000,-2.789931944444e-06
UNIUSD,1756990800000,-1.4680555556e-08
UNIUSD,1756994400000,3.418133333333e-06
UNIUSD,1756998000000,1.445206944444e-06
UNIUSD,1757001600000,2.440336111111e-06
UNIUSD,1757005200000,4.812636111111e-06
UNIUSD,1757008800000,6.484175e-06
UNIUSD,1757012400000,5.42163888889e-07
UNIUSD,1757016000000,-6.53077777778e-07
UNIUSD,1757019600000,8.643395833333e-06
UNIUSD,1757023200000,6.122055555556e-06
UNIUSD,1757026800000,2.963819444444e-06
UNIUSD,1757030400000,-1.098356944444e-06
UNIUSD,1757034000000,-6.06761111111e-07
UNIUSD,1757037600000,5.169181944444e-06
UNIUSD,1757041200000,-8.71147222222e-07
UNIUSD,1757044800000,-7.106944444e-09
UNIUSD,1757048400000,4.050623611111e-06
UNIUSD,1757052000000,7.279222222222e-06
UNIUSD,1757055600000,3.238854166667e-06
UNIUSD,1757059200000,1.5892322222222e-05
UNIUSD,1757062800000,1.0338113888889e-05
UNIUSD,1757066400000,1.2395019444444e-05
UNIUSD,1757070000000,3.6195e-06
UNIUSD,1757073600000,3.703380555556e-06
UNIUSD,1757077200000,9.348380555556e-06
UNIUSD,1757080800000,-6.40369444444e-07
UNIUSD,1757084400000,-1.8252494444444e-05
UNIUSD,1757088000000,-4.925427777778e-06
UNIUSD,1757091600000,8.755841666667e-06
UNIUSD,1757095200000,1.1659359722222e-05
UNIUSD,1757098800000,1.5848120833333e-05
UNIUSD,1757102400000,1.2379390277778e-05
UNIUSD,1757106000000,1.8484158333333e-05
UNIUSD,1757109600000,2.0010309722222e-05
UNIUSD,1757113200000,2.1334398611111e-05
UNIUSD,1757116800000,1.8939084722222e-05
UNIUSD,1757120400000,1.6224605555556e-05
UNIUSD,1757124000000,9.532758333333e-06
UNIUSD,1757127600000,7.963994444444e-06
UNIUSD,1757131200000,9.954195833333e-06
UNIUSD,1757134800000,1.2434e-06
UNIUSD,1757138400000,1.231911111111e-06
UNIUSD,1757142000000,2.835351388889e-06
UNIUSD,1757145600000,2.521781944444e-06
UNIUSD,1757149200000,-4.75788888889e-07
UNIUSD,1757152800000,-7.45235e-06
UNIUSD,1757156400000,-4.932195833333e-06
UNIUSD,1757160000000,-9.725520833333e-06
UNIUSD,1757163600000,-4.201836111111e-06
UNIUSD,1757167200000,4.610875e-07
UNIUSD,1757170800000,5.210175e-06
UNIUSD,1757174400000,-6.533851388889e-06
UNIUSD,1757178000000,-4.562977777778e-06
UNIUSD,1757181600000,-8.85491666667e-07
UNIUSD,1757185200000,7.481290277778e-06
UNIUSD,1757188800000,3.620893055556e-06
UNIUSD,1757192400000,1.1492183333333e-05
UNIUSD,1757196000000,5.384995833333e-06
UNIUSD,1757199600000,3.690822222222e-06
UNIUSD,1757203200000,-1.286280555556e-06
UNIUSD,1757206800000,1.6061973611111e-05
UNIUSD,1757210400000,1.3602402777778e-05
UNIUSD,1757214000000,1.9228041666667e-05
UNIUSD,1757217600000,2.6400356944444e-05
UNIUSD,1757221200000,2.2223663888889e-05
UNIUSD,1757224800000,2.3020970833333e-05
UNIUSD,1757228400000,2.5095031944444e-05
UNIUSD,1757232000000,2.9212136111111e-05
UNIUSD,1757235600000,3.1265611111111e-05
UNIUSD,1757239200000,1.6569675e-05
UNIUSD,1757242800000,-1.64955e-06
UNIUSD,1757246400000,-6.967630555556e-06
UNIUSD,1757250000000,-9.962181944444e-06
UNIUSD,1757253600000,-2.911586111111e-06
UNIUSD,1757257200000,1.093875e-06
UNIUSD,1757260800000,-2.844597222222e-06
UNIUSD,1757264400000,-2.176226388889e-06
UNIUSD,1757268000000,-1.196223611111e-06
UNIUSD,1757271600000,2.526125e-07
UNIUSD,1757275200000,1.260631944444e-06
UNIUSD,1757278800000,8.33930555556e-07
UNIUSD,1757282400000,6.665127777778e-06
UNIUSD,1757286000000,8.794098611111e-06
UNIUSD,1757289600000,9.246883333333e-06
UNIUSD,1757293200000,9.553906944444e-06
UNIUSD,1757296800000,9.246223611111e-06
UNIUSD,1757300400000,1.1256611111111e-05
UNIUSD,1757304000000,1.1792615277778e-05
UNIUSD,1757307600000,5.136069444444e-06
UNIUSD,1757311200000,1.0991019444444e-05
UNIUSD,1757314800000,7.227109722222e-06
UNIUSD,1757318400000,7.2851625e-06
UNIUSD,1757322000000,1.21543125e-05
UNIUSD,1757325600000,1.7958811111111e-05
UNIUSD,1757329200000,1.9331776388889e-05
UNIUSD,1757332800000,1.9179156944444e-05
UNIUSD,1757336400000,2.8212413888889e-05
UNIUSD,1757340000000,2.0224781944444e-05
UNIUSD,1757343600000,2.6773533333333e-05
UNIUSD,1757347200000,1.4020895833333e-05
UNIUSD,1757350800000,-3.011965277778e-06
