symbol,fundingTime,fundingRate
XBTUSD,1756886400000,1.6297334722222e-05
XBTUSD,1756890000000,1.2970088888889e-05
XBTUSD,1756893600000,7.176697222222e-06
XBTUSD,1756897200000,6.587930555556e-06
XBTUSD,1756900800000,4.733061111111e-06
XBTUSD,1756904400000,2.325240277778e-06
XBTUSD,1756908000000,2.808266666667e-06
XBTUSD,1756911600000,5.837529166667e-06
XBTUSD,1756915200000,7.923297222222e-06
XBTUSD,1756918800000,7.129652777778e-06
XBTUSD,1756922400000,9.960223611111e-06
XBTUSD,1756926000000,1.2063156944444e-05
XBTUSD,1756929600000,1.1990772222222e-05
XBTUSD,1756933200000,4.870423611111e-06
XBTUSD,1756936800000,3.502748611111e-06
XBTUSD,1756940400000,2.488130555556e-06
XBTUSD,1756944000000,2.195113888889e-06
XBTUSD,1756947600000,7.109845833333e-06
XBTUSD,1756951200000,3.941645833333e-06
XBTUSD,1756954800000,4.606847222222e-06
XBTUSD,1756958400000,7.084966666667e-06
XBTUSD,1756962000000,9.986344444444e-06
XBTUSD,1756965600000,5.712294444444e-06
XBTUSD,1756969200000,2.5283e-06
XBTUSD,1756972800000,1.132009722222e-06
XBTUSD,1756976400000,1.420306944444e-06
XBTUSD,1756980000000,4.50601388889e-07
XBTUSD,1756983600000,-1.468988888889e-06
XBTUSD,1756987200000,-1.37565277778e-07
XBTUSD,1756990800000,1.796808333333e-06
XBTUSD,1756994400000,3.559511111111e-06
XBTUSD,1756998000000,6.008563888889e-06
XBTUSD,1757001600000,6.748605555556e-06
XBTUSD,1757005200000,4.269519444444e-06
XBTUSD,1757008800000,4.398358333333e-06
XBTUSD,1757012400000,6.763781944444e-06
XBTUSD,1757016000000,3.170870833333e-06
XBTUSD,1757019600000,5.511561111111e-06
XBTUSD,1757023200000,6.168604166667e-06
XBTUSD,1757026800000,6.337019444444e-06
XBTUSD,1757030400000,7.244830555556e-06
XBTUSD,1757034000000,6.199719444444e-06
XBTUSD,1757037600000,4.542436111111e-06
XBTUSD,1757041200000,8.157031944444e-06
XBTUSD,1757044800000,6.777127777778e-06
XBTUSD,1757048400000,8.048718055556e-06
XBTUSD,1757052000000,7.098802777778e-06
XBTUSD,1757055600000,5.568395833333e-06
XBTUSD,1757059200000,7.697777777778e-06
XBTUSD,1757062800000,8.3536625e-06
XBTUSD,1757066400000,1.0235011111111e-05
XBTUSD,1757070000000,6.844130555556e-06
XBTUSD,1757073600000,6.94855e-06
XBTUSD,1757077200000,1.0639252777778e-05
XBTUSD,1757080800000,1.2088366666667e-05
XBTUSD,1757084400000,1.2569643055556e-05
XBTUSD,1757088000000,1.4368634722222e-05
XBTUSD,1757091600000,1.4098319444444e-05
XBTUSD,1757095200000,1.2946918055556e-05
XBTUSD,1757098800000,9.648993055556e-06
XBTUSD,1757102400000,3.005877777778e-06
XBTUSD,1757106000000,3.333384722222e-06
XBTUSD,1757109600000,3.976773611111e-06
XBTUSD,1757113200000,7.373618055556e-06
XBTUSD,1757116800000,1.0073284722222e-05
XBTUSD,1757120400000,1.1913073611111e-05
XBTUSD,1757124000000,1.2485325e-05
XBTUSD,1757127600000,1.0291409722222e-05
XBTUSD,1757131200000,7.260168055556e-06
XBTUSD,1757134800000,6.869131944444e-06
XBTUSD,1757138400000,5.5512375e-06
XBTUSD,1757142000000,7.780511111111e-06
XBTUSD,1757145600000,8.284759722222e-06
XBTUSD,1757149200000,8.061640277778e-06
XBTUSD,1757152800000,5.519275e-06
XBTUSD,1757156400000,9.014869444444e-06
XBTUSD,1757160000000,6.548491666667e-06
XBTUSD,1757163600000,6.287368055556e-06
XBTUSD,1757167200000,5.684230555556e-06
XBTUSD,1757170800000,2.843088888889e-06
XBTUSD,1757174400000,4.609854166667e-06
XBTUSD,1757178000000,7.1834125e-06
XBTUSD,1757181600000,8.180870833333e-06
XBTUSD,1757185200000,8.676601388889e-06
XBTUSD,1757188800000,7.887491666667e-06
XBTUSD,1757192400000,9.605594444444e-06
XBTUSD,1757196000000,9.730455555556e-06
XBTUSD,1757199600000,9.776051388889e-06
XBTUSD,1757203200000,7.490466666667e-06
XBTUSD,1757206800000,8.201019444444e-06
XBTUSD,1757210400000,9.228515277778e-06
XBTUSD,1757214000000,8.6265375e-06
XBTUSD,1757217600000,9.697247222222e-06
XBTUSD,1757221200000,8.062422222222e-06
XBTUSD,1757224800000,9.960416666667e-06
XBTUSD,1757228400000,8.807897222222e-06
XBTUSD,1757232000000,9.918443055556e-06
XBTUSD,1757235600000,9.324688888889e-06
XBTUSD,1757239200000,9.511055555556e-06
XBTUSD,1757242800000,9.257469444444e-06
XBTUSD,1757246400000,1.0911322222222e-05
XBTUSD,1757250000000,6.265004166667e-06
XBTUSD,1757253600000,5.710865277778e-06
XBTUSD,1757257200000,9.34845e-06
XBTUSD,1757260800000,9.312609722222e-06
XBTUSD,1757264400000,7.8096375e-06
XBTUSD,1757268000000,1.0068586111111e-05
XBTUSD,1757271600000,1.3079359722222e-05
XBTUSD,1757275200000,1.5264102777778e-05
XBTUSD,1757278800000,1.2972966666667e-05
XBTUSD,1757282400000,9.674776388889e-06
XBTUSD,1757286000000,1.2675111111111e-05
XBTUSD,1757289600000,1.1959723611111e-05
XBTUSD,1757293200000,1.1929755555556e-05
XBTUSD,1757296800000,1.4672304166667e-05
XBTUSD,1757300400000,1.5981031944444e-05
XBTUSD,1757304000000,1.2502602777778e-05
XBTUSD,1757307600000,1.38972e-05
XBTUSD,1757311200000,1.3272856944444e-05
XBTUSD,1757314800000,1.3330616666667e-05
XBTUSD,1757318400000,8.693961111111e-06
XBTUSD,1757322000000,8.928702777778e-06
XBTUSD,1757325600000,9.632352777778e-06
XBTUSD,1757329200000,7.324325e-06
XBTUSD,1757332800000,7.376965277778e-06
XBTUSD,1757336400000,8.723530555556e-06
XBTUSD,1757340000000,8.122527777778e-06
XBTUSD,1757343600000,5.435981944444e-06
