symbol,fundingTime,fundingRate
XLMUSD,1756886400000,2.1425652777778e-05
XLMUSD,1756890000000,2.4052140277778e-05
XLMUSD,1756893600000,1.3302402777778e-05
XLMUSD,1756897200000,2.4448843055556e-05
XLMUSD,1756900800000,2.4890877777778e-05
XLMUSD,1756904400000,1.9808770833333e-05
XLMUSD,1756908000000,9.321583333333e-06
XLMUSD,1756911600000,1.8759579166667e-05
XLMUSD,1756915200000,1.9054684722222e-05
XLMUSD,1756918800000,9.413373611111e-06
XLMUSD,1756922400000,1.2396577777778e-05
XLMUSD,1756926000000,5.759004166667e-06
XLMUSD,1756929600000,1.3698776388889e-05
XLMUSD,1756933200000,-8.48711111111e-07
XLMUSD,1756936800000,-7.576588888889e-06
XLMUSD,1756940400000,-3.614463888889e-06
XLMUSD,1756944000000,-1.4917625e-06
XLMUSD,1756947600000,-2.966945833333e-06
XLMUSD,1756951200000,-1.4243548611111e-05
XLMUSD,1756954800000,-7.433051388889e-06
XLMUSD,1756958400000,-7.075355555556e-06
XLMUSD,1756962000000,-2.199175e-06
XLMUSD,1756965600000,-6.1050875e-06
XLMUSD,1756969200000,-6.158179166667e-06
XLMUSD,1756972800000,-6.631756944444e-06
XLMUSD,1756976400000,-9.318409722222e-06
XLMUSD,1756980000000,-1.2166405555556e-05
XLMUSD,1756983600000,-5.435576388889e-06
XLMUSD,1756987200000,-8.937738888889e-06
XLMUSD,1756990800000,-5.654911111111e-06
XLMUSD,1756994400000,-1.0850680555556e-05
XLMUSD,1756998000000,-1.2240718055556e-05
XLMUSD,1757001600000,-9.45590277778e-07
XLMUSD,1757005200000,-3.262119444444e-06
XLMUSD,1757008800000,9.070344444444e-06
XLMUSD,1757012400000,1.092945e-05
XLMUSD,1757016000000,7.139091666667e-06
XLMUSD,1757019600000,1.2325827777778e-05
XLMUSD,1757023200000,5.820109722222e-06
XLMUSD,1757026800000,1.4002522222222e-05
XLMUSD,1757030400000,9.156680555556e-06
XLMUSD,1757034000000,6.891341666667e-06
XLMUSD,1757037600000,1.0010829166667e-05
XLMUSD,1757041200000,1.2954906944444e-05
XLMUSD,1757044800000,1.0479401388889e-05
XLMUSD,1757048400000,1.14814875e-05
XLMUSD,1757052000000,1.2328102777778e-05
XLMUSD,1757055600000,8.2227125e-06
XLMUSD,1757059200000,2.4431302777778e-05
XLMUSD,1757062800000,1.5363986111111e-05
XLMUSD,1757066400000,1.1910304166667e-05
XLMUSD,1757070000000,1.6727652777778e-05
XLMUSD,1757073600000,1.0300080555556e-05
XLMUSD,1757077200000,1.9349908333333e-05
XLMUSD,1757080800000,2.3026025e-05
XLMUSD,1757084400000,9.689304166667e-06
XLMUSD,1757088000000,2.8630227777778e-05
XLMUSD,1757091600000,3.1681913888889e-05
XLMUSD,1757095200000,1.9426040277778e-05
XLMUSD,1757098800000,1.7705629166667e-05
XLMUSD,1757102400000,2.0360522222222e-05
XLMUSD,1757106000000,1.73101875e-05
XLMUSD,1757109600000,9.234948611111e-06
XLMUSD,1757113200000,9.557118055556e-06
XLMUSD,1757116800000,1.4677151388889e-05
XLMUSD,1757120400000,2.6424245833333e-05
XLMUSD,1757124000000,2.4026208333333e-05
XLMUSD,1757127600000,1.9683986111111e-05
XLMUSD,1757131200000,1.8074933333333e-05
XLMUSD,1757134800000,4.170348611111e-06
XLMUSD,1757138400000,4.674606944444e-06
XLMUSD,1757142000000,4.748801388889e-06
XLMUSD,1757145600000,6.759572222222e-06
XLMUSD,1757149200000,6.167944444444e-06
XLMUSD,1757152800000,6.688125e-07
XLMUSD,1757156400000,1.51655555556e-07
XLMUSD,1757160000000,8.63016666667e-07
XLMUSD,1757163600000,1.0274126388889e-05
XLMUSD,1757167200000,9.044558333333e-06
XLMUSD,1757170800000,1.0494308333333e-05
XLMUSD,1757174400000,-2.293409722222e-06
XLMUSD,1757178000000,9.019116666667e-06
XLMUSD,1757181600000,1.3857606944444e-05
XLMUSD,1757185200000,1.5922404166667e-05
XLMUSD,1757188800000,7.657995833333e-06
XLMUSD,1757192400000,1.5760584722222e-05
XLMUSD,1757196000000,1.4078566666667e-05
XLMUSD,1757199600000,2.8597401388889e-05
XLMUSD,1757203200000,3.2819647222222e-05
XLMUSD,1757206800000,3.8595018055556e-05
XLMUSD,1757210400000,3.6497948611111e-05
XLMUSD,1757214000000,3.4333234722222e-05
XLMUSD,1757217600000,3.08276125e-05
XLMUSD,1757221200000,2.5795152777778e-05
XLMUSD,1757224800000,2.7887143055556e-05
XLMUSD,1757228400000,1.87851875e-05
XLMUSD,1757232000000,1.5467555555556e-05
XLMUSD,1757235600000,1.9207620833333e-05
XLMUSD,1757239200000,1.9804523611111e-05
XLMUSD,1757242800000,1.9905351388889e-05
XLMUSD,1757246400000,2.3537852777778e-05
XLMUSD,1757250000000,1.8965225e-05
XLMUSD,1757253600000,2.5816533333333e-05
XLMUSD,1757257200000,2.2742955555556e-05
XLMUSD,1757260800000,2.3571791666667e-05
XLMUSD,1757264400000,1.6995701388889e-05
XLMUSD,1757268000000,8.727372222222e-06
XLMUSD,1757271600000,9.603483333333e-06
XLMUSD,1757275200000,1.2116372222222e-05
XLMUSD,1757278800000,8.586184722222e-06
XLMUSD,1757282400000,7.220131944444e-06
XLMUSD,1757286000000,6.618686111111e-06
XLMUSD,1757289600000,4.682797222222e-06
XLMUSD,1757293200000,8.419098611111e-06
XLMUSD,1757296800000,6.068172222222e-06
XLMUSD,1757300400000,1.2004944444444e-05
XLMUSD,1757304000000,7.202923611111e-06
XLMUSD,1757307600000,-3.6006375e-06
XLMUSD,1757311200000,6.096747222222e-06
