symbol,fundingTime,fundingRate
XMRUSD,1756886400000,-3.312036111111e-06
XMRUSD,1756890000000,7.1644345833333e-05
XMRUSD,1756893600000,6.3860080555556e-05
XMRUSD,1756897200000,5.58867125e-05
XMRUSD,1756900800000,6.2472351388889e-05
XMRUSD,1756904400000,3.4541284722222e-05
XMRUSD,1756908000000,3.1237940277778e-05
XMRUSD,1756911600000,1.6366431944444e-05
XMRUSD,1756915200000,-2.578397222222e-06
XMRUSD,1756918800000,2.4894836111111e-05
XMRUSD,1756922400000,4.48696e-05
XMRUSD,1756926000000,3.4829034722222e-05
XMRUSD,1756929600000,-8.089358333333e-06
XMRUSD,1756933200000,7.654695833333e-06
XMRUSD,1756936800000,5.9992818055556e-05
XMRUSD,1756940400000,8.8609061111111e-05
XMRUSD,1756944000000,2.4778866666667e-05
XMRUSD,1756947600000,2.7583613888889e-05
XMRUSD,1756951200000,-1.2238273611111e-05
XMRUSD,1756954800000,-5.553206944444e-06
XMRUSD,1756958400000,-2.1787388888889e-05
XMRUSD,1756962000000,-9.313986111111e-06
XMRUSD,1756965600000,8.361175e-06
XMRUSD,1756969200000,1.3924248611111e-05
XMRUSD,1756972800000,-4.986851388889e-06
XMRUSD,1756976400000,1.7628791666667e-05
XMRUSD,1756980000000,5.0641368055556e-05
XMRUSD,1756983600000,4.4334252777778e-05
XMRUSD,1756987200000,5.10812375e-05
XMRUSD,1756990800000,2.8918111111111e-05
XMRUSD,1756994400000,2.9301359722222e-05
XMRUSD,1756998000000,-3.812275e-06
XMRUSD,1757001600000,7.893623611111e-06
XMRUSD,1757005200000,1.6410834722222e-05
XMRUSD,1757008800000,-8.990084722222e-06
XMRUSD,1757012400000,1.622343055556e-06
XMRUSD,1757016000000,-8.709329166667e-06
XMRUSD,1757019600000,3.275572222222e-06
XMRUSD,1757023200000,3.0245e-05
XMRUSD,1757026800000,1.1729101388889e-05
XMRUSD,1757030400000,1.1374636111111e-05
XMRUSD,1757034000000,4.0970352777778e-05
XMRUSD,1757037600000,5.37233333333e-07
XMRUSD,1757041200000,1.4425676388889e-05
XMRUSD,1757044800000,2.2990448611111e-05
XMRUSD,1757048400000,1.0210209722222e-05
XMRUSD,1757052000000,2.997079166667e-06
XMRUSD,1757055600000,7.721665277778e-06
XMRUSD,1757059200000,4.1032422222222e-05
XMRUSD,1757062800000,6.4549904166667e-05
XMRUSD,1757066400000,6.0589e-06
XMRUSD,1757070000000,1.4998593055556e-05
XMRUSD,1757073600000,3.1227956944444e-05
XMRUSD,1757077200000,7.91775e-06
XMRUSD,1757080800000,1.0105551388889e-05
XMRUSD,1757084400000,1.77627125e-05
XMRUSD,1757088000000,1.7740581944444e-05
XMRUSD,1757091600000,2.0197373611111e-05
XMRUSD,1757095200000,2.8707826388889e-05
XMRUSD,1757098800000,3.94968375e-05
XMRUSD,1757102400000,3.4663376388889e-05
XMRUSD,1757106000000,1.2070933333333e-05
XMRUSD,1757109600000,1.9787168055556e-05
XMRUSD,1757113200000,5.7792558333333e-05
XMRUSD,1757116800000,5.1437348611111e-05
XMRUSD,1757120400000,8.9313913888889e-05
XMRUSD,1757124000000,9.8590026388889e-05
XMRUSD,1757127600000,5.0248145833333e-05
XMRUSD,1757131200000,9.9938038888889e-05
XMRUSD,1757134800000,9.9982086111111e-05
XMRUSD,1757138400000,7.5933998611111e-05
XMRUSD,1757142000000,7.0913934722222e-05
XMRUSD,1757145600000,6.8942966666667e-05
XMRUSD,1757149200000,7.9551297222222e-05
XMRUSD,1757152800000,9.7679855555556e-05
XMRUSD,1757156400000,5.7322527777778e-05
XMRUSD,1757160000000,7.2745172222222e-05
XMRUSD,1757163600000,5.3657104166667e-05
XMRUSD,1757167200000,4.9506918055556e-05
XMRUSD,1757170800000,7.681445e-05
XMRUSD,1757174400000,5.0598526388889e-05
XMRUSD,1757178000000,0.000106132265277778
XMRUSD,1757181600000,4.88620125e-05
XMRUSD,1757185200000,2.2954001388889e-05
XMRUSD,1757188800000,4.8521425e-05
XMRUSD,1757192400000,8.70704375e-05
XMRUSD,1757196000000,8.0926716666667e-05
XMRUSD,1757199600000,7.0649602777778e-05
XMRUSD,1757203200000,5.2256218055556e-05
XMRUSD,1757206800000,5.4511504166667e-05
XMRUSD,1757210400000,4.4552944444444e-05
XMRUSD,1757214000000,3.3723718055556e-05
XMRUSD,1757217600000,3.1126469444444e-05
XMRUSD,1757221200000,1.0097101388889e-05
