symbol,fundingTime,fundingRate
XRPUSD,1756886400000,3.262168055556e-06
XRPUSD,1756890000000,1.3775344444444e-05
XRPUSD,1756893600000,7.097394444444e-06
XRPUSD,1756897200000,1.2360954166667e-05
XRPUSD,1756900800000,8.630541666667e-06
XRPUSD,1756904400000,6.611279166667e-06
XRPUSD,1756908000000,9.360344444444e-06
XRPUSD,1756911600000,1.3889065277778e-05
XRPUSD,1756915200000,1.3265920833333e-05
XRPUSD,1756918800000,5.1666125e-06
XRPUSD,1756922400000,1.4172425e-05
XRPUSD,1756926000000,1.5737354166667e-05
XRPUSD,1756929600000,2.6383470833333e-05
XRPUSD,1756933200000,1.2560247222222e-05
XRPUSD,1756936800000,8.712495833333e-06
XRPUSD,1756940400000,7.037426388889e-06
XRPUSD,1756944000000,9.535565277778e-06
XRPUSD,1756947600000,1.3352361111111e-05
XRPUSD,1756951200000,7.174116666667e-06
XRPUSD,1756954800000,2.211165277778e-06
XRPUSD,1756958400000,3.023752777778e-06
XRPUSD,1756962000000,5.84943055556e-07
XRPUSD,1756965600000,4.43418055556e-07
XRPUSD,1756969200000,-8.585944444444e-06
XRPUSD,1756972800000,-3.991027777778e-06
XRPUSD,1756976400000,-2.995540277778e-06
XRPUSD,1756980000000,-4.9917e-06
XRPUSD,1756983600000,-6.034615277778e-06
XRPUSD,1756987200000,-2.262155555556e-06
XRPUSD,1756990800000,-2.7192e-06
XRPUSD,1756994400000,-1.357888888889e-06
XRPUSD,1756998000000,-2.417977777778e-06
XRPUSD,1757001600000,6.449416666667e-06
XRPUSD,1757005200000,3.734469444444e-06
XRPUSD,1757008800000,1.0224005555556e-05
XRPUSD,1757012400000,9.59005555556e-07
XRPUSD,1757016000000,5.26240277778e-07
XRPUSD,1757019600000,1.2450743055556e-05
XRPUSD,1757023200000,1.8192990277778e-05
XRPUSD,1757026800000,1.0211588888889e-05
XRPUSD,1757030400000,7.813490277778e-06
XRPUSD,1757034000000,5.001913888889e-06
XRPUSD,1757037600000,1.0475904166667e-05
XRPUSD,1757041200000,7.924475e-06
XRPUSD,1757044800000,6.211544444444e-06
XRPUSD,1757048400000,8.795538888889e-06
XRPUSD,1757052000000,4.421102777778e-06
XRPUSD,1757055600000,3.848026388889e-06
XRPUSD,1757059200000,4.5956625e-06
XRPUSD,1757062800000,5.435202777778e-06
XRPUSD,1757066400000,8.631793055556e-06
XRPUSD,1757070000000,2.7704436111111e-05
XRPUSD,1757073600000,3.0477016666667e-05
XRPUSD,1757077200000,2.8187919444444e-05
XRPUSD,1757080800000,1.3378320833333e-05
XRPUSD,1757084400000,-3.36986111111e-07
XRPUSD,1757088000000,6.53883333333e-07
XRPUSD,1757091600000,7.012255555556e-06
XRPUSD,1757095200000,7.414620833333e-06
XRPUSD,1757098800000,1.2374216666667e-05
XRPUSD,1757102400000,1.6928127777778e-05
XRPUSD,1757106000000,2.05665625e-05
XRPUSD,1757109600000,1.3188295833333e-05
XRPUSD,1757113200000,1.1203041666667e-05
XRPUSD,1757116800000,8.386418055556e-06
XRPUSD,1757120400000,1.2342079166667e-05
XRPUSD,1757124000000,1.3883766666667e-05
XRPUSD,1757127600000,1.1654488888889e-05
XRPUSD,1757131200000,1.1585580555556e-05
XRPUSD,1757134800000,5.808565277778e-06
XRPUSD,1757138400000,8.297855555556e-06
XRPUSD,1757142000000,1.2148216666667e-05
XRPUSD,1757145600000,1.4323626388889e-05
XRPUSD,1757149200000,9.305904166667e-06
XRPUSD,1757152800000,3.704002777778e-06
XRPUSD,1757156400000,3.965304166667e-06
XRPUSD,1757160000000,1.810348611111e-06
XRPUSD,1757163600000,7.112619444444e-06
XRPUSD,1757167200000,1.2989969444444e-05
XRPUSD,1757170800000,1.2266604166667e-05
XRPUSD,1757174400000,5.509198611111e-06
XRPUSD,1757178000000,6.387970833333e-06
XRPUSD,1757181600000,1.464718055556e-06
XRPUSD,1757185200000,5.300873611111e-06
XRPUSD,1757188800000,1.761926388889e-06
XRPUSD,1757192400000,6.455020833333e-06
XRPUSD,1757196000000,1.2275252777778e-05
XRPUSD,1757199600000,1.02420625e-05
XRPUSD,1757203200000,7.247218055556e-06
XRPUSD,1757206800000,8.234563888889e-06
XRPUSD,1757210400000,6.987791666667e-06
XRPUSD,1757214000000,1.1246530555556e-05
XRPUSD,1757217600000,9.4347125e-06
XRPUSD,1757221200000,1.2010040277778e-05
XRPUSD,1757224800000,1.3281156944444e-05
XRPUSD,1757228400000,8.261258333333e-06
XRPUSD,1757232000000,1.3452526388889e-05
XRPUSD,1757235600000,9.762991666667e-06
XRPUSD,1757239200000,3.693391666667e-06
XRPUSD,1757242800000,3.283676388889e-06
XRPUSD,1757246400000,5.692273611111e-06
XRPUSD,1757250000000,5.402008333333e-06
XRPUSD,1757253600000,9.388675e-06
XRPUSD,1757257200000,1.8955661111111e-05
XRPUSD,1757260800000,1.6021854166667e-05
XRPUSD,1757264400000,9.426186111111e-06
XRPUSD,1757268000000,2.451066666667e-06
XRPUSD,1757271600000,5.158545833333e-06
XRPUSD,1757275200000,5.405781944444e-06
XRPUSD,1757278800000,1.1042094444444e-05
XRPUSD,1757282400000,1.0986929166667e-05
XRPUSD,1757286000000,1.2152726388889e-05
XRPUSD,1757289600000,1.3471156944444e-05
XRPUSD,1757293200000,9.308193055556e-06
XRPUSD,1757296800000,1.5422811111111e-05
XRPUSD,1757300400000,1.8045473611111e-05
XRPUSD,1757304000000,1.6212598611111e-05
XRPUSD,1757307600000,1.4767673611111e-05
XRPUSD,1757311200000,1.88852e-05
XRPUSD,1757314800000,1.4690034722222e-05
XRPUSD,1757318400000,8.700798611111e-06
XRPUSD,1757322000000,1.2413563888889e-05
XRPUSD,1757325600000,2.2895258333333e-05
XRPUSD,1757329200000,1.5344593055556e-05
XRPUSD,1757332800000,1.4692831944444e-05
XRPUSD,1757336400000,2.26689375e-05
XRPUSD,1757340000000,2.1132705555556e-05
XRPUSD,1757343600000,1.9663256944444e-05
XRPUSD,1757347200000,1.7501138888889e-05
XRPUSD,1757350800000,1.4741070833333e-05
XRPUSD,1757354400000,2.3758069444444e-05
XRPUSD,1757358000000,1.9112745833333e-05
XRPUSD,1757361600000,1.5119776388889e-05
XRPUSD,1757365200000,5.558304166667e-06
XRPUSD,1757368800000,1.7343098611111e-05
XRPUSD,1757372400000,1.7885948611111e-05
