symbol,fundingTime,fundingRate
XTZUSD,1756886400000,-4.0527706944444e-05
XTZUSD,1756890000000,-4.1161418055556e-05
XTZUSD,1756893600000,-5.0840391666667e-05
XTZUSD,1756897200000,-3.9895820833333e-05
XTZUSD,1756900800000,-2.8804113888889e-05
XTZUSD,1756904400000,-1.6681256944444e-05
XTZUSD,1756908000000,-1.7336070833333e-05
XTZUSD,1756911600000,-2.0986938888889e-05
XTZUSD,1756915200000,-1.8399804166667e-05
XTZUSD,1756918800000,-1.1750127777778e-05
XTZUSD,1756922400000,-7.3227e-06
XTZUSD,1756926000000,-1.4367511111111e-05
XTZUSD,1756929600000,-1.5015193055556e-05
XTZUSD,1756933200000,-1.5007854166667e-05
XTZUSD,1756936800000,-1.1719884722222e-05
XTZUSD,1756940400000,-8.463094444444e-06
XTZUSD,1756944000000,-7.581280555556e-06
XTZUSD,1756947600000,-4.698345833333e-06
XTZUSD,1756951200000,-1.1891961111111e-05
XTZUSD,1756954800000,-1.6204152777778e-05
XTZUSD,1756958400000,-1.9721676388889e-05
XTZUSD,1756962000000,-2.3956543055556e-05
XTZUSD,1756965600000,-1.2929947222222e-05
XTZUSD,1756969200000,-7.869006944444e-06
XTZUSD,1756972800000,-4.060359722222e-06
XTZUSD,1756976400000,-7.976609722222e-06
XTZUSD,1756980000000,-1.2826554166667e-05
XTZUSD,1756983600000,-8.800001388889e-06
XTZUSD,1756987200000,-1.0268758333333e-05
XTZUSD,1756990800000,-7.588634722222e-06
XTZUSD,1756994400000,-2.302641666667e-06
XTZUSD,1756998000000,-4.381325e-06
XTZUSD,1757001600000,-1.2135238888889e-05
XTZUSD,1757005200000,-2.5750370833333e-05
XTZUSD,1757008800000,-2.2712327777778e-05
XTZUSD,1757012400000,-2.3556723611111e-05
XTZUSD,1757016000000,-3.1371061111111e-05
XTZUSD,1757019600000,-2.861785e-05
XTZUSD,1757023200000,-1.8557920833333e-05
XTZUSD,1757026800000,-2.4859586111111e-05
XTZUSD,1757030400000,-2.3548473611111e-05
XTZUSD,1757034000000,-2.6633136111111e-05
XTZUSD,1757037600000,-2.2636697222222e-05
XTZUSD,1757041200000,-2.3227509722222e-05
XTZUSD,1757044800000,-2.2150098611111e-05
XTZUSD,1757048400000,-1.7482230555556e-05
XTZUSD,1757052000000,-1.0822418055556e-05
XTZUSD,1757055600000,-9.485633333333e-06
XTZUSD,1757059200000,-9.92415277778e-07
XTZUSD,1757062800000,-3.867752777778e-06
XTZUSD,1757066400000,-7.926290277778e-06
XTZUSD,1757070000000,4.983781944444e-06
XTZUSD,1757073600000,3.303081944444e-06
XTZUSD,1757077200000,-3.685429166667e-06
XTZUSD,1757080800000,-1.547865277778e-06
XTZUSD,1757084400000,-1.1732948611111e-05
XTZUSD,1757088000000,-7.209270833333e-06
XTZUSD,1757091600000,-9.270731944444e-06
XTZUSD,1757095200000,-8.977315277778e-06
XTZUSD,1757098800000,-1.00275875e-05
XTZUSD,1757102400000,-1.1235125e-05
XTZUSD,1757106000000,-1.8259261111111e-05
XTZUSD,1757109600000,-1.1424126388889e-05
XTZUSD,1757113200000,-7.987401388889e-06
XTZUSD,1757116800000,-2.872977777778e-06
XTZUSD,1757120400000,-1.260497222222e-06
XTZUSD,1757124000000,-4.615454166667e-06
XTZUSD,1757127600000,-7.635777777778e-06
XTZUSD,1757131200000,-1.2426251388889e-05
XTZUSD,1757134800000,-1.3328526388889e-05
XTZUSD,1757138400000,-1.2290834722222e-05
XTZUSD,1757142000000,-1.8620029166667e-05
XTZUSD,1757145600000,-1.6796991666667e-05
XTZUSD,1757149200000,-1.7144845833333e-05
XTZUSD,1757152800000,-1.1747651388889e-05
XTZUSD,1757156400000,-7.684651388889e-06
XTZUSD,1757160000000,-1.17655375e-05
XTZUSD,1757163600000,-1.4934134722222e-05
XTZUSD,1757167200000,-2.0883522222222e-05
XTZUSD,1757170800000,-3.162841666667e-06
XTZUSD,1757174400000,-6.600441666667e-06
XTZUSD,1757178000000,-1.1324827777778e-05
XTZUSD,1757181600000,-1.2898597222222e-05
XTZUSD,1757185200000,-1.03263375e-05
XTZUSD,1757188800000,-9.955801388889e-06
XTZUSD,1757192400000,-1.8981268055556e-05
XTZUSD,1757196000000,-1.3113333333333e-05
XTZUSD,1757199600000,1.981122222222e-06
XTZUSD,1757203200000,-8.823461111111e-06
XTZUSD,1757206800000,-2.583833333333e-06
XTZUSD,1757210400000,-1.1958469444444e-05
XTZUSD,1757214000000,-2.259905555556e-06
XTZUSD,1757217600000,-4.298611111111e-06
XTZUSD,1757221200000,-1.3021768055556e-05
XTZUSD,1757224800000,-2.0007468055556e-05
XTZUSD,1757228400000,-1.9028948611111e-05
XTZUSD,1757232000000,-2.3041925e-05
XTZUSD,1757235600000,-1.8503255555556e-05
XTZUSD,1757239200000,-2.3883691666667e-05
XTZUSD,1757242800000,-4.4031963888889e-05
XTZUSD,1757246400000,-2.1200447222222e-05
XTZUSD,1757250000000,-1.8103479166667e-05
XTZUSD,1757253600000,-2.0966961111111e-05
XTZUSD,1757257200000,-1.4874384722222e-05
XTZUSD,1757260800000,-2.2238673611111e-05
XTZUSD,1757264400000,-2.3169698611111e-05
XTZUSD,1757268000000,-3.7739086111111e-05
XTZUSD,1757271600000,-3.5782054166667e-05
XTZUSD,1757275200000,-6.986601388889e-06
XTZUSD,1757278800000,-1.5271025e-05
XTZUSD,1757282400000,-1.4685551388889e-05
XTZUSD,1757286000000,-1.6548102777778e-05
XTZUSD,1757289600000,-9.302784722222e-06
XTZUSD,1757293200000,-5.013476388889e-06
XTZUSD,1757296800000,-1.3491405555556e-05
XTZUSD,1757300400000,-1.3628254166667e-05
XTZUSD,1757304000000,1.0509136111111e-05
XTZUSD,1757307600000,-5.430097222222e-06
XTZUSD,1757311200000,-1.1585808333333e-05
XTZUSD,1757314800000,-3.784906944444e-06
XTZUSD,1757318400000,9.0184125e-06
XTZUSD,1757322000000,1.5913231944444e-05
XTZUSD,1757325600000,1.1681161111111e-05
XTZUSD,1757329200000,7.528641666667e-06
XTZUSD,1757332800000,-1.468540277778e-06
XTZUSD,1757336400000,1.538433333333e-06
XTZUSD,1757340000000,1.0227327777778e-05
XTZUSD,1757343600000,6.957256944444e-06
XTZUSD,1757347200000,5.481293055556e-06
XTZUSD,1757350800000,-1.0129881944444e-05
XTZUSD,1757354400000,-8.083288888889e-06
XTZUSD,1757358000000,-5.7327125e-06
XTZUSD,1757361600000,-4.244143055556e-06
XTZUSD,1757365200000,-1.3198134722222e-05
XTZUSD,1757368800000,-2.2217125e-06
XTZUSD,1757372400000,-8.430630555556e-06
XTZUSD,1757376000000,-1.1046525e-05
XTZUSD,1757379600000,-1.1218348611111e-05
XTZUSD,1757383200000,-1.6359790277778e-05
XTZUSD,1757386800000,-6.493244444444e-06
XTZUSD,1757390400000,-1.3368845833333e-05
XTZUSD,1757394000000,-7.041734722222e-06
XTZUSD,1757397600000,-1.727386111111e-06
XTZUSD,1757401200000,-5.91779166667e-07
XTZUSD,1757404800000,-1.648748611111e-06
XTZUSD,1757408400000,7.6646625e-06
XTZUSD,1757412000000,7.161748611111e-06
XTZUSD,1757415600000,6.833068055556e-06
XTZUSD,1757419200000,1.09273375e-05
XTZUSD,1757422800000,-4.024e-07
XTZUSD,1757426400000,-2.693336111111e-06
XTZUSD,1757430000000,-1.0962338888889e-05
XTZUSD,1757433600000,-3.0582316666667e-05
XTZUSD,1757437200000,-3.1258131944444e-05
XTZUSD,1757440800000,-1.6720259722222e-05
XTZUSD,1757444400000,-7.274019444444e-06
XTZUSD,1757448000000,-7.780401388889e-06
XTZUSD,1757451600000,-5.030156944444e-06
XTZUSD,1757455200000,-1.0570952777778e-05
XTZUSD,1757458800000,-1.3764347222222e-05
XTZUSD,1757462400000,6.445695833333e-06
XTZUSD,1757466000000,9.48252777778e-07
XTZUSD,1757469600000,-6.624895833333e-06
XTZUSD,1757473200000,-5.281794444444e-06
XTZUSD,1757476800000,3.723502777778e-06
XTZUSD,1757480400000,8.311427777778e-06
XTZUSD,1757484000000,8.902040277778e-06
XTZUSD,1757487600000,2.3918023611111e-05
XTZUSD,1757491200000,1.3556809722222e-05
XTZUSD,1757494800000,-1.8775086111111e-05
XTZUSD,1757498400000,-2.1159658950617e-05
XTZUSD,1757502000000,-2.3597513888889e-05
XTZUSD,1757505600000,-2.5676856944444e-05
XTZUSD,1757509200000,-2.1123069444444e-05
XTZUSD,1757512800000,-1.8264777777778e-05
XTZUSD,1757516400000,-4.108845e-05
XTZUSD,1757520000000,-3.9410970833333e-05
XTZUSD,1757523600000,-4.1756465277778e-05
XTZUSD,1757527200000,-3.4658484722222e-05
XTZUSD,1757530800000,-2.4905915277778e-05
XTZUSD,1757534400000,-3.1501022222222e-05
XTZUSD,1757538000000,-3.2951013888889e-05
XTZUSD,1757541600000,-2.6838306944444e-05
XTZUSD,1757545200000,-3.0146602777778e-05
XTZUSD,1757548800000,-3.5738752777778e-05
XTZUSD,1757552400000,-3.54269e-05
XTZUSD,1757556000000,-3.1623747222222e-05
XTZUSD,1757559600000,-2.3689106944444e-05
XTZUSD,1757563200000,-1.1740630555556e-05
XTZUSD,1757566800000,-1.9412523611111e-05
XTZUSD,1757570400000,-2.2048522222222e-05
XTZUSD,1757574000000,-1.7211843055556e-05
XTZUSD,1757577600000,-2.3385418154762e-05
XTZUSD,1757581200000,-1.8878136111111e-05
XTZUSD,1757584800000,-1.7727986111111e-05
XTZUSD,1757588400000,-6.513627777778e-06
XTZUSD,1757592000000,-1.1068988888889e-05
XTZUSD,1757595600000,-1.3726718055556e-05
