create_time,count_long_short_ratio,count_toptrader_long_short_ratio,sum_open_interest,sum_open_interest_value,sum_taker_long_short_vol_ratio,sum_toptrader_long_short_ratio
2024-04-11 23:50:00,0.87679083,1.06925208,7776.15,4894351.84671337,1.15388,1.121421
2024-04-12 14:40:00,0.91995769,1.22282024,14093.318,8118173.96754,0.796176,0.955121
2024-04-13 06:30:00,1.02274163,1.12285337,9115.214,4989030.07862,0.803773,1.006984
2024-04-14 16:10:00,0.76944882,0.71117358,21463.89,12339590.361,1.202655,1.081422
2024-04-15 04:45:00,0.88337029,0.91798942,19781.8,11111505.93844724,1.60962,1.204528
2024-04-16 06:30:00,1.25413967,1.25098039,18466.918,9554414.03484,0.51576,1.185223
2024-04-17 03:50:00,1.36070959,1.23623853,21496.08,10708583.89356941,1.126513,1.032167
2024-04-18 04:15:00,1.50298063,1.37269373,20754.245,9557537.36495,0.904695,0.963946
2024-04-19 04:30:00,1.62932605,1.6179941,17987.448,8157487.54248,0.858381,1.001025
2024-04-20 23:55:00,1.7018315,1.52488152,22909.023,11113058.94572593,0.67635,1.021814
2024-04-21 21:40:00,1.62490509,1.67571059,22684.301,10998710.18286,1.644192,1.181901
2024-04-22 06:15:00,1.56716418,1.58757764,23152.62,11375455.43616195,0.715422,1.098587
2024-04-23 21:15:00,1.77870722,1.78763441,22254.888,11163051.8208,0.718574,1.203982
2024-04-24 10:50:00,2.16961131,2.12423313,21551.348,10670685.20350114,0.480436,1.206415
2024-04-25 03:15:00,2.45716946,2.26139818,26004.112,11714072.33264,1.663434,1.371572
2024-04-26 23:45:00,2.83509108,2.62898089,25824.16,11029240.4944,0.740875,1.20337
2024-04-27 22:40:00,2.90764647,2.43154762,26620.559,11154054.94805942,0.318906,1.1458
2024-04-28 23:20:00,2.53654024,2.27389444,26222.771,11055157.37109466,2.076104,1.196204
2024-04-29 02:30:00,2.56813996,2.28755365,26166.776,11150789.21729798,1.181044,1.194773
2024-04-30 22:35:00,2.16020864,2.27202073,28420.736,11011045.74848,1.740867,1.215649
2024-05-01 23:55:00,1.92431193,1.98385093,27026.253,10286559.87531507,0.610356,1.262758
2024-05-02 23:55:00,1.75852273,1.76503973,24851.945,10043168.0134,0.608025,1.30012
2024-05-03 23:55:00,1.53867403,1.67824074,23118.934,9834500.85487849,1.556205,1.520741
2024-05-04 23:55:00,1.51952349,1.60677966,22064.3,9851525.19701102,1.061053,1.533837
2024-05-05 23:55:00,1.47957839,1.621802,22799.696,10371595.92897442,1.969441,1.952241
2024-05-06 23:55:00,1.66015352,1.82177033,22849.156,10087613.30841348,0.340587,1.943655
2024-05-07 23:55:00,1.82863341,1.91252955,24819.561,10400036.7432054,0.7998,1.569858
2024-05-08 23:55:00,2.00927767,2.08229989,27908.351,10922432.79533645,0.841511,1.537085
2024-05-09 23:55:00,2.40732265,2.41955446,29795.966,11708324.8397,1.039772,1.486607
2024-05-10 23:55:00,2.70223881,2.57819905,31966.638,12033066.80455916,1.442382,1.360196
2024-05-11 23:55:00,2.46893064,2.45724466,31440.561,11778063.1265575,2.104114,1.49535
2024-05-12 23:55:00,2.59873061,2.48260382,33357.787,12106039.67860572,0.327483,1.519298
2024-05-13 23:55:00,2.71116505,2.64961637,33905.096,12112707.23345484,1.245152,1.552183
2024-05-14 23:55:00,2.43914956,2.43559719,35211.107,12099240.58734,0.597728,1.358409
2024-05-15 23:55:00,1.64088697,1.63452709,32007.647,12473532.33308557,0.808725,1.377297
2024-05-16 23:55:00,1.68167798,1.99121844,30153.651,11525026.94871,1.006499,1.545796
2024-05-17 23:55:00,1.86794792,1.99681866,31873.461,12133589.13348,0.427653,1.472157
2024-05-18 23:55:00,1.89002558,2.13028953,31803.608,12159083.78565442,1.214883,1.568607
2024-05-19 23:55:00,2.05950752,2.37108434,32623.869,11915295.19326702,1.062869,1.440779
2024-05-20 23:55:00,1.73737374,1.98697068,34159.617,13887514.69948797,1.008823,1.375211
2024-05-21 23:55:00,1.66457143,1.83268859,32963.167,13983981.64174304,1.448301,1.797833
2024-05-22 23:55:00,1.62296919,1.85897436,33696.886,15054539.02667844,1.875249,1.641716
2024-05-23 23:55:00,1.56,1.85856574,31788.144,14328505.908,2.801799,1.715785
2024-05-24 23:55:00,1.63265306,1.92970297,32646.672,14250272.328,1.747762,1.892405
2024-05-25 23:55:00,1.72669826,1.89424861,33725.935,14323323.04653821,4.161493,1.800241
2024-05-26 23:55:00,1.6875,1.97291667,33389.373,14557098.84054,2.404094,1.938091
2024-05-27 23:55:00,1.91919771,2.10295617,33877.757,14851953.24648344,1.284713,1.962246
2024-05-28 23:55:00,2.10906935,2.49448124,36062.595,15118521.70185,0.386371,2.206982
2024-05-29 23:55:00,2.24498886,2.63912134,41459.411,16394294.89173,0.872972,1.855192
2024-05-30 23:55:00,2.35217903,2.61256545,44583.525,17418722.30169229,2.031091,1.820749
2024-05-31 23:55:00,2.69439421,2.98569857,43780.213,17048014.9422,0.83209,1.996082
2024-06-01 23:55:00,2.92383292,3.10098793,46324.534,17922630.27217381,0.608412,1.902961
2024-06-02 23:55:00,3.25190355,3.52112676,48847.224,18623004.15,0.356701,2.071806
2024-06-03 23:55:00,3.14158768,3.31866953,54106.148,20501360.53868,0.292839,2.165766
2024-06-04 23:55:00,2.95606327,3.36707453,54909.214,21849993.61138203,0.856595,2.38629
2024-06-05 23:55:00,2.61705595,3.25355191,56608.403,23691301.64661267,0.516103,2.798765
2024-06-06 23:55:00,2.31773271,3.03350785,54730.802,23220170.80415604,2.514964,3.026665
2024-06-07 23:55:00,2.11297798,2.65038002,51190.744,20090679.27243228,2.154287,2.862989
2024-06-08 23:55:00,2.43077914,2.71171171,48611.007,17576032.28749661,1.343985,2.72699
2024-06-09 23:55:00,2.37789661,2.57053292,49824.867,18037569.69656074,1.476183,2.516472
2024-06-10 23:55:00,2.22065217,2.40319549,51681.9,17721723.51,1.219509,2.378742
